# R-048 — revisit of the split lane's P-010 (second part) plus the nine KEPT-WHOLE shelves (TODO 39a).
# Shapes: the Batman bucket (New 52 run + its TPB line, the 1940 run, two annual series, three creator collections, the
# Random House readers); Dark Horse Conan (Marvel-Edition reissue of the 2004 run, the multi-run Vol. 07-20 trade line,
# the Omnibus line); X-Treme X-Men 2001 / 2012 + Mekanix + Savage Land; six Shadowman runs; two Manhunter runs; the Iron
# Man bucket (four runs, the annual, nine Epic Collection books, one-shots); and the kept-whole collected lines (She Could
# Fly, Tech Jacket, Torchwood, Supurbia, Hawaiian Dick, Drizzt, Faith) + Marvel Holiday Special + Fritzi Ritz.
# Every split-reader id was re-probed (lookup.py --id / --issues / --gcd-issues / --who-stores / --collects).

# ================= Batman =================
S 95394 cv=42721 gcd=61067 0.95 | the New 52 Batman: #0-6, 8-33 + #23.1-23.4 (Villains Month) from the Trinity Read Order folders and "04 Batman v2 (2011)", the run's own ten trades (GCD reprints: #1-7, #8-12, #13-17, #21-24, #25-33, #0/18-20/28/34, #35-40, #41-45, #46-50, #51-52 of s61067) and the Zero Year collection = the stored CV 42721 (DC 2011, 57, cached #0-52) = GCD 61067 (2011-2016, 57); the trade line is CV 48729 / GCD 72998 on the I lines
I 30511 cv=553389 gcd=2711844 isbn=9781631407314 0.95 | Vol. 05 Streams of Silver 136pp = CV 94867 issue 553389 = GCD 95013 #5 132pp
I 30512 cv=590669 gcd=2711845 isbn=9781631408656 0.95 | Vol. 06 The Halfling's Gem 135pp = CV 100541 issue 590669 = GCD 95013 #6 128pp
N 5939 each book reprints a Devil's Due Forgotten Realms adaptation (GCD 133989 "Forgotten Realms The Legend of Drizzt" holds only 4 rows); the per-book source runs are not in our data, so no C lines
S 6410 cv=- gcd=114627 0.9 | KEPT WHOLE, the collected line: Vol. 01-04 are exactly GCD 114627 "Faith" (Valiant 2016-, 4 rows: Hollywood and Vine 146pp, California Scheming, Superstar, The Faithless, with ISBNs) and the two other books are that line's own content in deluxe editions (GCD 114626 164pp; CV 115391 / GCD 172230 426pp) — residue that costs nothing (L-186); CV keeps no line volume; the line spans the mini and the ongoing
F 6410 wrong-cv-link | stored CV 87612 is the 2016 Faith mini (4 issues) that Vol. 01 collects — a run for a C line, not the line
F 6410 stale-flag=68 | the 2016 mini and the ongoing do both number from #1, but the shelf holds no issue of either — only the four trades of one line GCD 114627 plus two deluxe editions; the mini/ongoing split is carried by the C lines, not by the shelf
I 110850 cv=- gcd=1712269 isbn=9781939346742 0.95 | "COL Faith Vol. 01 - Hollywood and Vine (2016)" 132pp = GCD 114627 #1 Hollywood and Vine 146pp
C 110850 cv=87612 gcd=95871 #1-4 0.95 | Vol. 01 collects the Faith mini (Valiant 2016, 4 issues, CV 87612 / GCD 95871) #1-4 — the judged #1-4
I 110851 cv=- gcd=1712270 0.95 | "COL Faith Vol. 02 - California Scheming (2016)" 114pp = GCD 114627 #2 California Scheming 116pp
C 110851 cv=92362 #1-4 0.9 | Vol. 02 collects the Faith ongoing (Valiant 2016-2017, CV 92362, 12 issues) #1-4 — Vol. 03-04 are judged #5-8 and #9-12 of it; 114pp = four issues
I 110852 cv=- gcd=1712271 isbn=9781682151990 0.95 | "COL Faith Vol. 03 - Superstar (2017)" 131pp = GCD 114627 #3 Superstar 132pp
C 110852 cv=92362 #5-8 0.95 | Vol. 03 collects the Faith ongoing (Valiant, CV 92362, 12 issues) #5-8 — the judged #5-8 (conf 0.9)
I 110853 cv=- gcd=1736857 isbn=9781682152195 0.95 | "COL Faith Vol. 04 - The Faithless (2017)" 116pp = GCD 114627 #4 The Faithless 116pp
C 110853 cv=92362 #9-12 0.95 | Vol. 04 collects the Faith ongoing #9-12 (CV 92362, whose #10-12 are titled "The Faithless") — the judged #9-12
I 110856 cv=- gcd=1712272 isbn=9781682152010 0.95 | "COL Faith Deluxe Edition (2016) (digital, SC)" 159pp = GCD 114626 "Faith Deluxe Edition" row 1712272 164pp
I 111966 cv=692503 gcd=2220250 isbn=9781682152850 0.95 | "COL Faith Deluxe Edition Book 01 (2018)" 396pp = CV 115391 issue 692503 (HC) = GCD 172230 row 2220250 426pp
S 11422 cv=18442 gcd=- 1.0 | KEPT WHOLE: ComicVine keeps ONE volume for the line, CV 18442 "Marvel Holiday Special" (Marvel 1991, 10 issues numbered by year #1991-#2011), and our ComicInfo Web 118717 / 108237 / 119962 are its issues #1991 / #1992 / #1993 (Volume 1991 on 6 files); all 20 files are those ten issues, duplicate rips and story splits (P-008's ruling); GCD splits the line into one-issue series per year (20144 / 4710 / 18654 / 18655 / 17894 — L-242), so no single GCD id
N 11422 GCD's per-year series: 1991 = 20144, 1992 = 4710, 1993 = 18654, 1994 = 18655, 2006 = 17894; the per-file GCD 3433 (Silver Surfer) is a round2-folder stamp
S 7004 cv=31895 gcd=- 0.9 | KEPT WHOLE: one continuously numbered Fritzi Ritz, #1 (1948) .. #57 (1958), no number shared by two publications (the doubles #29, #33, #47, #48 are duplicate rips); the stored CV 31895 "Fritzi Ritz" (United Feature 1953, 33, #27-59) holds 26 of our 36 files, and our #1-17 sit in CV 30942 (United 1949, #1-7) and the uncatalogued #8-26 gap; GCD cuts the one numbering by publisher (14718/14719 United 1948-49, 14720 United #27-36, 17934 St. John #37-55, 17935 Dell #56-59) — provider segmentation, so no single GCD id and 0.9
N 7004 eras: United Feature 1948-1954 (#1-36: CV 30942 #1-7, CV 31895 #27-36; GCD 14718, 14719, 14720), St. John 1955-1957 (#37-55: CV 31895; GCD 17934), Dell 1957-1958 (#56-57: CV 31895; GCD 17935); our 1949-1951 #8-17 are in no CV volume we hold
