# R-173 — revisit of 50 Marvel shelves from the X-Men family tail (Complete Chronology V2, _X-Men TPBs, the Skottie Young
# covers bucket, the Infinite Comics folders): seven per-book X-Men Epic shelves that now JOIN the line shelf S22349 (L-409),
# and a long run of C-05x "dominant + residue named not merged" shelves re-read under the later rulings (L-368 / L-388 /
# L-391): residue whose run has a live shelf now JOINS it (Gambit 1993 -> S97095, X-Force / Champions '98 -> S22196, X-Men
# Forever 2 -> S22365, Uncanny X-Force 2013 -> S94816, Nightcrawler 2004 -> S65353, Punisher 2014 / 2016 covers ->
# S94683 / S94684); a whole second mini with NO shelf is a co-equal run -> R + split-needed (Rogue 1995, Amazing X-Men
# 1995, Magneto 1996). Surprise: Damage Control "V2" files are the Dec 1989 Acts of Vengeance mini, GCD 3973, not the
# stored-by-name GCD 3972 (May 1989); two TPB singletons are later editions than their stored records.

# ---- The X-Men Annual (1992) (also in R-172) ----
S 102429 cv=10748 gcd=11656 0.9 | The X-Men Annual (Marvel 1992-1994, 3): CV 10748 (1992, 3 cached #1-3) and GCD 11656 (Marvel 1992-1994, 3) agree on publisher, span and count; our #1 (86000 53pp and 87803 64pp, joined by P-074), #2 (88009) and #3 (88143) fill the ladder 1-3 at 53-64pp, ComicInfo Web 90586 = CV 10748 #3; 0.9 for two annuals of other records - X-Men '99 (89006) and X-Men Annual 2007 (90652)
I 92973 cv=958385 gcd=2457553 isbn=978-1-302-94522-0 0.9 | "COL X-Factor by Peter David Omnibus v02 (2023)" 1092pp = CV 138276 #2 issue 958385 "Volume 2" and GCD 174889 #2 row 2457553 (2022-11-30, 1136pp, 96%)
C 92973 cv=18109 gcd=16465 #1-39 0.95 | X-Factor (Marvel 2006, 114 issues): GCD row 2457553 reprints X-Factor (2006) #1-39 (44 stories) with Madrox #1-5, the Omnibus Vol. 2 content
C 92973 cv=11181 gcd=12116 #1-5 0.95 | Madrox (Marvel 2004, 5 issues, CV 11181 / GCD 12116): GCD row 2457553 reprints Madrox #1-5 at the head of X-Factor by Peter David Omnibus Vol. 2
I 92974 cv=1048071 gcd=2613083 isbn=978-1-302-95330-0 0.95 | "COL X-Factor by Peter David Omnibus v03 (2024)" 1118pp = CV 138276 #3 issue 1048071 "Volume 3" (2024-03-12) and GCD 174889 #3 row 2613083 (2024-03-13, 1168pp, 96%)
C 92974 cv=18109 gcd=16465 #200-232 0.9 | X-Factor (Marvel 2006, 114 issues, #1-50 then legacy #200-262): GCD row 2613083 reprints #40-50 and #200-224, #224.1, #225-232 (46 stories) - #200-232 is the larger contiguous stretch
N 92974 Vol. 3 also reprints X-Factor (2006) #40-50 (CV 18109 / GCD 16465) and Nation X: X-Factor (2010) #1 (GCD 41478) - stated here, not widened across the #51-199 numbering gap

# ---- single-book TPB shelves (Marvel\_X-Men\_X-Men TPBs) ----
S 22321 cv=52927 gcd=172720 0.9 | X-Men: The Wedding of Cyclops & Phoenix, the 2012 TPB: CV 52927 (2012, 1, issue 361084) and GCD 172720 (Marvel 2012, 1, row 2225651, 412pp) agree on title, year and count; our two rips (374 / 370pp, 91% / 90% of 412pp) fit that book, not the 2018 840pp edition (CV 113273 / GCD 128745, row 1843138); 0.9 because the files are dated 2015, the digital release, not either printing
N 22321 the per-file CV 113273 (the 2018 840pp edition) on 93088 is the other printing; 840pp rules it out for a 370pp file
I 84410 cv=361084 gcd=2225651 isbn=978-0-7851-6290-2 0.9 | "X-Men - Wedding of Cyclops & Phoenix (2015)" 374pp = CV 52927 issue 361084 and GCD 172720 row 2225651 (412pp, 2012-09-19); the 2015 file date is the digital release
I 93088 cv=361084 gcd=2225651 isbn=978-0-7851-6290-2 0.9 | "X-Men - Wedding of Cyclops & Phoenix (2015) (F)" 370pp is a second rip of the same 2012 TPB: CV 52927 issue 361084 and GCD 172720 row 2225651 (412pp)
C 84410 cv=4605 gcd=4254 #27-30 0.95 | X-Men (Marvel 1991-2001, 115; CV 4605 / GCD 4254): GCD row 2225651's roll-up reprints s4254 #27-30 (5 stories), the wedding issue #30 and its lead-in
C 84410 cv=3092 gcd=2605 #308-310 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2225651's roll-up reprints s2605 #308-310 (3 stories)
C 84410 cv=5066 gcd=4754 #3-3 0.9 | X-Men Unlimited (Marvel 1993-2003, 50; CV 5066 / GCD 4754): GCD row 2225651's roll-up reprints s4754 #3 (1 story)
C 84410 cv=10748 gcd=11656 #2-2 0.9 | The X-Men Annual (Marvel 1992-1994, 3; CV 10748 / GCD 11656): GCD row 2225651's roll-up reprints s11656 #2 (1 story)
C 84410 gcd=11669 #18-18 0.9 | The Uncanny X-Men Annual (Marvel 1992-1994, 3; GCD 11669): GCD row 2225651's roll-up reprints s11669 #18 (1 story)
C 93088 cv=4605 gcd=4254 #27-30 0.95 | X-Men (Marvel 1991-2001, 115; CV 4605 / GCD 4254): GCD row 2225651's roll-up reprints s4254 #27-30 (5 stories) - second rip of the Wedding TPB
C 93088 cv=3092 gcd=2605 #308-310 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2225651's roll-up reprints s2605 #308-310 - second rip of the Wedding TPB
C 93088 cv=5066 gcd=4754 #3-3 0.9 | X-Men Unlimited (Marvel 1993-2003, 50; CV 5066 / GCD 4754): GCD row 2225651's roll-up reprints s4754 #3 - second rip of the Wedding TPB
C 93088 cv=10748 gcd=11656 #2-2 0.9 | The X-Men Annual (Marvel 1992-1994, 3; CV 10748 / GCD 11656): GCD row 2225651's roll-up reprints s11656 #2 - second rip of the Wedding TPB
C 93088 gcd=11669 #18-18 0.9 | The Uncanny X-Men Annual (Marvel 1992-1994, 3; GCD 11669): GCD row 2225651's roll-up reprints s11669 #18 - second rip of the Wedding TPB

S 22334 cv=112834 gcd=127592 0.95 | X-Men Adventures (Marvel 2018 digest): CV 112834 (2018, 1, issue 680010) and GCD 127592 (Marvel 2018, 1, row 1836079, 124pp) agree on title, year and count, and our single 121pp file fits the 124pp row; one collected book, not the 1992 fifteen-issue run
F 22334 wrong-cv-link | the per-file CV 4823 "X-Men Adventures" 1992 (15 issues) is the animated-series run, and a single 121pp book is not fifteen floppies; the stored 112834 is right
I 93096 cv=680010 gcd=1836079 isbn=978-1-302-91211-6 0.95 | "X-Men Adventures (2018)" 121pp = CV 112834 issue 680010 and GCD 127592 row 1836079 (124pp, 2018-08-15)
C 93096 gcd=38385 #5-7 0.9 | Uncanny X-Men: First Class (Marvel 2009-2010, 8; GCD 38385): GCD row 1836079's roll-up reprints s38385 #5-7 (4 stories) in the 2018 digest
N 93096 the digest also reprints The X-Men (1963) #1 and #19 (CV 2133 / GCD 1576) per GCD row 1836079 - two single issues, not widened across the gap

S 22461 cv=43792 gcd=22302 0.9 | X-Men: Days of Future Present, the collection of the 1990 crossover annuals: CV 43792 (1991, 1, issue 301036) and GCD 22302 (Marvel 1991, 1, row 341980, 164pp) agree on the first edition; our 150pp "(2020)" file is the 2020 reissue (CV 126705 issue 759391, per-file), 91% of GCD's 164pp - same content, so the shelf keeps the first edition both legs hold and the book's own 2020 record goes on its I line
I 93041 cv=759391 gcd=341980 isbn=- 0.9 | "X-Men - Days of Future Present (2020)" 150pp = CV 126705 "X-Men: Days of Future Present" 2020 issue 759391 (the reissue the file year names); GCD holds only the 1991 edition, row 341980 (164pp), with the same contents
C 93041 cv=22988 gcd=1951 #14-14 0.9 | X-Men Annual (Marvel 1970-1991, 15; CV 22988 / GCD 1951): GCD row 341980's roll-up reprints s1951 #14 (3 stories), the crossover's X-Men chapter
C 93041 gcd=1572 #23-23 0.9 | Fantastic Four Annual (Marvel 1963-1994, 27; GCD 1572): GCD row 341980's roll-up reprints s1572 #23 (2 stories), the crossover's opening chapter
C 93041 gcd=2884 #6-6 0.9 | The New Mutants Annual (Marvel 1984, GCD 2884): GCD row 341980's roll-up reprints s2884 #6 (2 stories), the crossover's New Mutants chapter
C 93041 gcd=3210 #5-5 0.9 | X-Factor Annual (Marvel 1986, GCD 3210): GCD row 341980's roll-up reprints s3210 #5 (2 stories), the crossover's X-Factor chapter

S 22477 cv=- gcd=178998 0.9 | X-Men: From the Ashes, the 2021 collection: GCD 178998 (Marvel 2021, 1, row 2284554, 244pp, ISBN 978-1-302-93004-2; roll-up Uncanny X-Men #168-176) fits our 240pp file; the stored 1990 edition (CV 30242 / GCD 25960 row 369782) is 128pp, which a 240pp book is not; CV holds no 2021 record in our data, so cv=-
F 22477 wrong-cv-link | the stored CV 30242 "The Uncanny X-Men: From the Ashes..." (1990, issue 186427) is the 128pp first edition (GCD 25960 row 369782); our 240pp file is the 2021 book, GCD 178998 row 2284554 (244pp), whose CV record is not in our data; the per-file CV 158742 (a 2024 "Sampler") is wrong too
I 93049 cv=- gcd=2284554 isbn=978-1-302-93004-2 0.9 | "COL X-Men - From The Ashes (1997)" 240pp = GCD 178998 row 2284554 (244pp, 2021-12-08; roll-up s2605 #168-176); the "(1997)" in the name matches neither edition
C 93049 cv=3092 gcd=2605 #168-176 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2284554's roll-up reprints s2605 #168-176 (9 stories)

# ---- Infinite Comics, cartoon lines, Skottie Young variant covers ----
S 16146 cv=83348 gcd=- 0.9 | Ultimate Spider-Man Infinite Comic v1 (Marvel 2015): the stored CV 83348 (2015, cached #1-24) matches our 24 files 001-024 (36-51pp, the Infinite format) in "Ultimate Spider-Man Infinite Comic v1 (2015)" by folder, year and full ladder; GCD indexes no Marvel Infinite Comic
F 16146 provider-missing | GCD has no series for the 2015 Ultimate Spider-Man Infinite Comic

S 103618 cv=91154 gcd=- 0.9 | Ultimate Spider-Man Infinite Comic v2 (Marvel 2016, 10): our nine files 001-009 (48-67pp) in "Ultimate Spider-Man Infinite Comic v2 (2016)" = CV 91154 (Marvel 2016, 10) by folder, year and a ladder inside its count; GCD indexes no Marvel Infinite Comic
F 103618 needs-fetch cv=91154 | named from the rip only; no CvVolume row
F 103618 provider-missing | GCD has no series for the 2016 Ultimate Spider-Man Infinite Comic
F 103618 wrong-cv-link | the per-file CV 83348 (the 2015 v1 Infinite Comic) on 9/9 files is the earlier volume stamped by issue number; the stored 91154 is right

S 11648 cv=85120 gcd=92884 0.9 | Marvel Universe Guardians of the Galaxy (Marvel 2015-2017, 23): CV 85120 (2015, 23 cached) and GCD 92884 (Marvel 2015-2017, [was ongoing] 23) agree on publisher, span and count; our four issues 001 (2015) - 004 (2016) and the five digests Vol. 02-06 (GCD 98746 rows, roll-ups s92884 #5-8 ... #20-23) are one run; 0.9 because Vol. 05 also carries the 2015 mini (GCD 86795 #1-4)
N 11648 C-061's F needs-fetch cv=85120 is spent - CV 85120 is cached with 23 issues; the per-file GCD 98746 is the digest line, 86795 the 2015 mini
I 51851 cv=- gcd=1602254 isbn=978-0-7851-9913-7 0.9 | "COL Marvel Universe Guardians of the Galaxy Vol. 02 (2016)" 97pp = GCD 98746 #2 row 1602254 (100pp; roll-up s92884 #5-8); CV's per-book record is not in our data
I 51852 cv=- gcd=1648464 isbn=978-0-7851-9914-4 0.9 | "COL Marvel Universe Guardians of the Galaxy Vol. 03 (2017)" 97pp = GCD 98746 #3 row 1648464 (92pp; roll-up s92884 #9-12)
I 51853 cv=- gcd=1673766 isbn=978-1-302-90327-5 0.9 | "COL Marvel Universe Guardians of the Galaxy Vol. 04 (2017)" 97pp = GCD 98746 #4 row 1673766 (100pp; roll-up s92884 #13-16)
I 51854 cv=- gcd=1699940 isbn=978-1-302-90510-1 0.9 | "COL Marvel Universe Guardians of the Galaxy Vol. 05 (2017)" 113pp = GCD 98746 #5 row 1699940 (116pp; roll-up s86795 #1-4 + s92884 #17-19)
C 51854 cv=80115 gcd=86795 #1-4 0.9 | Marvel Universe: Guardians of the Galaxy (Marvel 2015, 4-issue miniseries; CV 80115 / GCD 86795): GCD row 1699940's roll-up reprints s86795 #1-4 beside the ongoing's #17-19
I 51855 cv=- gcd=1780678 isbn=978-1-302-90511-8 0.9 | "COL Marvel Universe Guardians of the Galaxy Vol. 06 (2018)" 89pp = GCD 98746 #6 row 1780678 (100pp; roll-up s92884 #20-23)

S 729 cv=78044 gcd=84509 0.9 | All-New Captain America (Marvel 2014-2015, 6): CV 78044 (6 cached) and GCD 84509 (Marvel 2015, 6) agree, and the Hydra Ascendant trade (77961, judged #1-6; GCD row 1540375 roll-up s84509 #1-6) and the 1pp Skottie Young variant of #1 are this run; 0.9 for item 81380, the separate All-New Captain America Special one-shot (CV 81829 / GCD 88991, no shelf)
I 77961 cv=493034 gcd=1540375 isbn=- 0.95 | "COL All-New Captain America Vol. 01 - Hydra Ascendant (2015)" 131pp = CV 82822 "All-New Captain America: Hydra Ascendant" issue 493034 and GCD 97645 #1 row 1540375 "Hydra Ascendant" (140pp)
I 81380 cv=487828 gcd=1349447 isbn=- 0.95 | "All-New Captain America Special 01 (2015)" 32pp = CV 81829 issue 487828 and GCD 88991 row 1349447 (40pp, 2015-05-06)

S 737 cv=80453 gcd=86984 0.9 | All-New Hawkeye (Marvel 2015, 5): two 1pp Skottie Young variant covers of "All-New Hawkeye 001 / 01 (2015)"; GCD's per-file pick 86984 (Marvel 2015, 5) and CV 80453 (2015, 5) agree on year and count; the per-file CV 85929 is the 2016 relaunch
F 737 partial-rip | the shelf holds only two 1pp Skottie Young variant covers of #1
F 737 wrong-cv-link | the per-file CV 85929 "All-New Hawkeye" 2016 (6) on 2/2 files is the year-later relaunch; the stored 80453 is right

S 9439 cv=66319 gcd=75977 0.9 | Infinity (Marvel 2013-2014, 6-issue event): CV 66319 (2013, 6 cached) and GCD 75977 (Marvel 2013-2014, 6; per-file on 6/10) agree; the seven 1pp Skottie Young variants of #1-6 and the 1046pp Infinity HC (117741) are this event; 0.9 for two misfiled Infinity 8 trades
F 9439 misfiled | items 37708 / 37709 "Infinity 8 Vol. 01 / 02" (Lion Forge / Magnetic Press 2018) are Trondheim & co.'s unrelated French sci-fi series, a different publisher's work folded in by bare title, not Marvel's Infinity
N 9439 flag #2 arithmetic-odd (item 117741, 1046pp) is not a conflated / overlap flag: the book is the Infinity event HC collecting Infinity #1-6 + Avengers 2013 #14-23 + New Avengers 2013 #7-12 (GCD 177302 row 2271251, 640pp), and 1046pp is its digital edition - no stale-flag
I 117741 cv=444760 gcd=2271251 isbn=978-0-7851-8422-5 0.7 | nearest records: CV 71516 "Infinity" HC issue 444760 (2014-03) and GCD 177302 row 2271251 (640pp, 2014-02); our 1046pp exceeds it, so the edition stays a review question
C 117741 gcd=70263 #14-23 0.9 | Avengers (Marvel 2013, GCD 70263): GCD row 2271251's roll-up reprints s70263 #14-23 (21 stories) inside the Infinity HC
C 117741 gcd=70463 #7-12 0.9 | New Avengers (Marvel 2013, GCD 70463): GCD row 2271251's roll-up reprints s70463 #7-12 (13 stories) inside the Infinity HC
I 37708 cv=111829 gcd=s123523 isbn=- 0.9 | Infinity 8 Vol. 01 "Love and Mummies" is CV 111829 (Lion Forge 2018, exact title); GCD holds only the French Rue de Sevres original (series 123523)
I 37709 cv=114438 gcd=s123523 isbn=- 0.9 | Infinity 8 Vol. 02 "Back to the Fuhrer" is CV 114438 (Magnetic Press, exact title); the French Rue de Sevres original (123523) is the paired leg

S 18043 cv=81085 gcd=88041 0.9 | Avengers: Ultron Forever, the 2015 one-shot: "001 Avengers - Ultron Forever 01 (2015) (5 covers)" 35pp and two 1pp Skottie Young variants = CV 81085 (Marvel 2015, 1, issue 484892 "Part One of Three") = GCD 88041 (Marvel 2015 [one-shot], row 1336569, 40pp); 0.9 for the 164pp event trade (53973, CV 85553 / GCD 93358), a book of three one-shots
F 18043 needs-fetch cv=81085 | "Avengers: Ultron Forever" (the 2015 one-shot) is named from the rip and has no CvVolume row
F 18043 wrong-cv-link | the per-file CV 11015 "Avengers: Forever" (1998, 12) on one file and GCD's round2-folder pick 75977 (Infinity) are wrong; R-038's stored-link F (CV 85553, the trade) is spent - the trade's record sits on 53973's I line
I 53973 cv=504333 gcd=1484976 isbn=978-0-7851-9769-0 0.95 | the 164pp "Avengers - Ultron Forever (2015)" trade: CV 85553 issue 504333 "TPB" (2015-10-31) and GCD 93358 row 1484976 (172pp, 2015-10-28)
C 53973 cv=81602 gcd=88753 #1-1 0.9 | the Ultron Forever event trade collects New Avengers: Ultron Forever (Marvel 2015, one-shot, CV 81602 "Part Two of Three" / GCD 88753), part two of the three-part event
C 53973 cv=82215 gcd=89550 #1-1 0.9 | the Ultron Forever event trade collects Uncanny Avengers: Ultron Forever (Marvel 2015, one-shot, CV 82215 "Part Three of Three" / GCD 89550), part three of the event
I 92953 cv=484892 gcd=1336569 isbn=- 0.95 | the one-shot's own records: CV 81085 issue 484892 and GCD 88041 row 1336569 (40pp against our 35pp)

S 19850 cv=93396 gcd=105640 0.9 | Uncanny Inhumans Annual (Marvel 2016, one-shot): our 1pp "The Uncanny Inhumans Annual 01 (2016) (Skottie Young Variant Cover)" matches CV 93396 (2016, 1, issue 546068) and GCD 105640 (Marvel 2016, 1) by title and year; only the cover is held
F 19850 wrong-cv-link | the per-file CV 99299 "Uncanny Inhumans" (2017, 2) is a later series and GCD's round2-folder pick 75977 (Infinity) is a folder-neighbour stamp; the stored 93396 is right
F 19850 partial-rip | the only file is a 1pp Skottie Young variant cover

S 21409 cv=82523 gcd=89987 0.95 | Weirdworld (2015), the Secret Wars mini: CV 82523 (Marvel 2015, 5 cached #1-5) and GCD 89987 (Marvel 2015, 5) agree on publisher, year and count; our two rips of "Weirdworld Vol. 00 - Warzones!" (103pp; GCD 104532 #0 row 1667398 reprints s89987 #1-5) and two 1pp Skottie Young variants of #1 are this mini's
I 103593 cv=508445 gcd=1667398 isbn=978-0-7851-9891-8 0.95 | "Weirdworld Vol. 00 - Warzones! (2015)" = GCD 104532 #0 row 1667398 (116pp) and CV 86724 "Weirdworld: Warzones!" issue 508445
C 103593 cv=82523 gcd=89987 #1-5 0.95 | Warzones! collects the 2015 Secret Wars mini Weirdworld (Marvel 2015, 5 issues; CV 82523 / GCD 89987) #1-5 per GCD's roll-up of row 1667398, judged #1-5
I 118141 cv=508445 gcd=1667398 isbn=978-0-7851-9891-8 0.95 | "Weirdworld v00 - Warzones! (2015)" 103pp = second rip of GCD 104532 #0 row 1667398 (116pp) and CV 86724 "Weirdworld: Warzones!" issue 508445
C 118141 cv=82523 gcd=89987 #1-5 0.95 | Warzones! (second rip) collects the 2015 Secret Wars mini Weirdworld (Marvel 2015, 5 issues; CV 82523 / GCD 89987) #1-5 per GCD's roll-up of row 1667398
I 52038 cv=491532 gcd=1406986 isbn=- 0.9 | "WeirdWorld 01 (2015) (Skottie Young Variant Cover)" 1pp = the Skottie Young Babies variant cover of #1: CV 82523 issue 491532, GCD 89987 variant row 1406986 (cover only)
I 52037 cv=491532 gcd=1406986 isbn=- 0.9 | "Weirdworld 001i (2015) (Skottie Young Variant)" 1pp (barcode 0759606082421) is a second scan of the same Skottie Young variant of #1: CV 82523 issue 491532, GCD variant row 1406986

S 24349 cv=82820 gcd=90420 0.9 | Age of Ultron vs. Marvel Zombies (Marvel 2015, 4-issue Battleworld mini): CV 82820 (2015, 4) and GCD 90420 (Marvel 2015, [4 issue miniseries] 4) agree on publisher, year and count; our 112pp book (118096) collects exactly that mini and the second file is a 1pp Skottie Young variant of #1; 0.9 because no interior issue is held
F 24349 wrong-cv-link | the per-file CV 85926 "Age of Ultron vs. Marvel Zombies" (2015, 1) on 2/2 files is the collected edition's count-1 record, not the four-issue run; it belongs on 118096's I line
I 118096 cv=505510 gcd=1496038 isbn=978-0-7851-9863-5 0.9 | "COL Age of Ultron vs Marvel Zombies (2015)" 112pp = CV 85926 issue 505510 and GCD 93834 row 1496038 (132pp, 2015-11-11), the mini's own trade

S 34431 cv=9133 gcd=9867 0.9 | The Punisher (Marvel 2001-2004, 37): CV 9133 (2001, 37 cached) and GCD 9867 (Marvel 2001-2004, 37) agree on publisher, span and count and cover our "The Punisher 016 / 017 (2002)" (24pp, Chronology slot 0529); 0.9 for three books of other runs - the Punisher 2099 (2004) one-shot and two Skottie Young covers of later Punisher runs, split below
F 34431 split-needed | item 52026 "The Punisher 01 (2014) (Skottie Young Variant Cover)" 1pp is #1 of The Punisher (Marvel 2014-2015; CV 71435 / GCD 78896), which S94683 stores -> join S94683 on its ParsedKey "Punisher v10 (2014)"; item 52027 "The Punisher 01 (2016) (Skottie Young Variant Cover)" 1pp is #1 of The Punisher (Marvel 2016-2018; CV 90118 / GCD 100917), which S94684 stores -> join S94684 on its ParsedKey "Punisher v11 (2016)" (L-368 / L-388)
F 34431 misfiled | item 53934 "Punisher 2099 (2004)" 24pp is the Punisher 2099 one-shot (CV 28118 / GCD 62122) of the Marvel 2099 line, not The Punisher (2001); no shelf stores it (lookup --who-stores cv=28118)
I 53934 cv=172665 gcd=894861 isbn=- 0.95 | "Punisher 2099 (Digital) (2004)" 24pp = CV 28118 "Punisher 2099" 2004 issue 172665 and GCD 62122 "Punisher 2099" [one-shot] row 894861 (36pp, 2004-09-29)

S 103770 cv=75557 gcd=81678 0.9 | Spider-Man 2099 (Marvel 2014-2015, 12): two 1pp Skottie Young variant covers of "Spider-Man 2099 001 / 01 (2014)" = CV 75557 (Marvel 2014, 12, #1 issue 459176) = GCD 81678 (Marvel 2014-2015, 12); the filenames' title, number and year name the run on both legs; only covers are held
F 103770 partial-rip | both files are 1pp variant-cover scans of #1; no interior page of the 2014 run is on this shelf
F 103770 needs-fetch cv=75557 | Spider-Man 2099 (2014) is named from the rip and has no CvVolume row
F 103770 wrong-cv-link | the per-file CV 43261 (Panini France "Spider-Man" 2000) and GCD 101377 (Panini Deutschland) on 2/2 files are foreign stamps; the stored 75557 is right
