# R-105 — S.2 triaged 0.9 tier: 48 DC shelves that won at 0.9 and carry a signal (triage.tsv). Each signal answered.
# The dominant signal is (b) the per-file wrong-relaunch / legacy stamp (Green Lantern 1960, Harley Quinn 2016,
# Injustice Year One, JLA 1960, Legion v3, Nightwing 1996, Power Girl …) — benign every time the shelf's own ladder, years
# and GCD leg agree; (e) big shelves were grepped for New 52 / Rebirth read-order rips (L-365); (c) RANGE CONTRADICTED
# flags were all "stored GCD row is another book" stamps except where noted. Many X-010/X-011 I lines cited a foreign or
# another book's GCD row at 0.7 — restated here with the English trade's own row where `--gcd-issues` shows it.

# --- Green Lantern (2005)
S 64826 cv=18216 gcd=13519 0.9 | signals b (per-file CV 2839, GL 1960, on 91/110) and e (110 files) are benign: the Johns Green Lantern (DC 2005) = CV 18216 (67, cached #1-67) = GCD 13519 (2005-2011, 67); ladder 1-42, 44-59 in "Green Lantern v4 NN" rips, the Oa read-order folders (Blackest Night #43-52, Brightest Day #53-59 — all GL 2005 numbers, dated 2009-2010, no New 52 issue among them) and Vol. 01-10 + Book 04 whose GCD roll-ups are all s13519; #43 joins from S34675 (below); 0.9 for Vol. 11 (War of the Green Lanterns: Aftermath), which collects no issue of this run
I 67477 cv=608182 gcd=1721597 isbn=- 0.9 | "COL Justice League - Rebirth Deluxe Edition Book 01 (2017)" 290pp = CV 102755 #1 issue 608182 and GCD 115386 #1 row 1721597 (320pp, Rebirth #1 + #1-11)
I 67478 cv=665882 gcd=1799082 isbn=- 0.9 | "COL Justice League - Rebirth Deluxe Edition Book 02 (2018)" 326pp = CV 102755 #2 issue 665882 and GCD 115386 #2 row 1799082 (352pp, #12-25)
I 67479 cv=691362 gcd=1871284 isbn=- 0.9 | "COL Justice League - Rebirth Deluxe Edition Book 03 (2018)" 184pp = CV 102755 #3 issue 691362 and GCD 115386 #3 row 1871284 (208pp, #26-33)

# --- Justice League: Gods and Monsters (2016) — a singleton book
S 10116 cv=87803 gcd=96685 0.95 | signal b is right, the stored id is not: the one 202pp "Justice League - Gods and Monsters (2016)" in "_Trades, Minis & One-shots" is the book CV 87803 "Justice League: Gods & Monsters" (DC 2016, 1, issue 513626 HC/TPB — the per-file pick) = GCD 96685 (2016, 1, row 1530802, 208pp); a bucket book's own count-1 record minted by both providers is its identity (L-124) — it collects the 3-issue mini plus the Batman / Superman / Wonder Woman one-shots, several records
F 10116 wrong-cv-link | stored CV 83860 is the 3-issue print mini "Justice League: Gods and Monsters" (2015) that the book collects, not the book
I 67554 cv=513626 gcd=1530802 isbn=978-1-4012-6131-3 0.95 | "Justice League - Gods and Monsters (2016)" 202pp = CV 87803 issue 513626 and GCD 96685 row 1530802 (2016-02-03, 208pp)
C 67554 cv=83860 gcd=91523 #1-3 0.9 | the book collects Justice League: Gods and Monsters (DC 2015, 3-issue mini: CV 83860 / GCD 91523, 40pp issues) #1-3 — the title's own mini, with the three character one-shots beside it

# --- Legion of Super-Heroes: The Curse — a second rip of a book of the 1980 run
S 10696 cv=3033 gcd=2540 0.9 | signal a-I (cv 76859 / gcd 110596 named by R-034's I line on S10690's item 68030) says what this is: the one 545pp "COL 04 Legion of Super-Heroes - The Curse (2014-09) HC" in "03 Legion of Super-Heroes v2 (1980)\Trades" is a second rip of 68030 (544pp), judged #297-313 of The Legion of Super-Heroes (1980) = CV 3033 (DC 1980, 55, #259-313) = GCD 2540 (1980-1984, 55); a run's folder holding only its trade is the run's shelf (L-124), so the S names the run, not the book's own count-1 records (CV 76859 is the 2011 Deluxe printing); 0.9 on one leg-pair read through the sibling rip
F 10696 merge-with=10690 | same run CV 3033 (The Legion of Super-Heroes 1980): S10690 stores cv=3033 gcd=2540 (R-034) and holds the first rip of The Curse (68030) — both S lines now carry cv=3033
I 67652 cv=- gcd=1659894 isbn=978-1-4012-5139-0 0.95 | "COL 04 Legion of Super-Heroes - The Curse (2014-09) HC" 545pp = GCD 110596 row 1659894 (2014-09-10, 548pp); CV 76859 issue 464966 is the 2011 Deluxe edition of the same contents, not this printing
C 67652 cv=3033 gcd=2540 #297-313 0.9 | The Curse collects The Legion of Super-Heroes (DC 1980, 55: CV 3033 / GCD 2540) #297-313, the range judged on its twin rip 68030 (conf 0.97)

# --- Legion of Super-Heroes (1984)
S 98213 cv=3310 gcd=2835 0.9 | signals b (per-file CV 4201, the 1989 run, on 82/83) and e (83 files, 19 numbers twice) are benign: "Legion of Super-Heroes, 1984-06 (#01) … 1989-06 (#63)" plus TolEressea / OkC second rips of #24-42 = CV 3310 (DC 1984, 63, in the rip) = GCD 2835 (1984-1989, 63, per-file 79/83), ComicInfo Volume 1984 x66; the trade The More Things Change is this run's (GCD 556208: s2835 #7-13); 0.9 for the four Legion of Super-Heroes Annual #1-4 (CV 3451 / GCD 2984), their own record
F 98213 needs-fetch cv=3310 | CV 3310 "Legion of Super-Heroes" 1984 has no CvVolume row (named from the local rip)
F 98213 wrong-cv-link | per-file CV 4201 (Legion of Super-Heroes 1989) on 82/83 files is the relaunch stamp
I 68031 cv=300210 gcd=556208 isbn=978-1-4012-1944-4 0.95 | The More Things Change's own records: CV 43661 issue 300210 (TPB, 2008) and GCD 33020 row 556208 (2008-12-10, 180pp against our 176pp)

# --- Legion of Super-Heroes (1989)
S 98214 cv=4201 gcd=3810 0.9 | signals a-C (4201 / 3810 named by a C line on S103319's book — a trade of this run elsewhere), e (135 files) and f (S103318 merged) are benign: "Legion of Super-Heroes, 1989-09 (#01) … 2000-01 (#125)" (Glorith date-stamped rips, no New 52 read-order file among them; #86 from The Final Night folder and #1,000,000 from One Million are this run's) = CV 4201 (DC 1989, 127, cached #0-125) = GCD 3810 (1989-2000, 127, per-file 128/135), ComicInfo Volume 1989 / Count 125 x128; ladder 0-125 complete; 0.9 for the seven Legion of Super-Heroes Annual #1-7 (items 67738-67744, CV 4371 / GCD 3995), their own record
N 98214 the seven annuals are a whole separate series, CV 4371 "Legion of Super-Heroes Annual" (DC 1990, 7) = GCD 3995 (1990-1996, 7); the lead may want them as their own key

# --- Legion of Super-Heroes (2005)
S 98215 cv=11059 gcd=11990 0.9 | signal c (C #37-44 / #45-50 "do not fit its count") is arithmetic, not a fault: CV 11059 counts 30 but numbers #0-15 + #37-50 (the Supergirl-titled #16-36 are CV 19189), so #37-50 are inside it; the eight trades collect one continuously numbered run #1-50 that both providers cut by title — GCD 11990 (#1-15) / 17334 (#16-37) / 28932 (#38-50) — the shelf keeps CV 11059 / GCD 11990 and every trade names its run on a C line; 0.9 for the seam (L-212 shape)
I 68036 cv=309762 gcd=356985 isbn=1-4012-0482-1 0.95 | Vol. 01 Teenage Revolution (196pp): CV 44984 issue 309762 "Volume 1" (2005-11-30) and GCD 24729 row #1 356985 (2005-11-16, 204pp)
C 68036 cv=11059 gcd=11990 #1-6 0.95 | GCD 24729 row 356985 reprints Legion of Super-Heroes (2005) #1-6 = CV 11059 / GCD 11990 (DC 2005); it also reprints Teen Titans / Legion Special #1
I 68037 cv=309770 gcd=356986 isbn=1-4012-0971-8 0.95 | Vol. 02 Death of a Dream (194pp): CV 44985 issue 309770 "Volume 2" (2006-05-31) and GCD 24729 row #2 356986 (2006-05-24, 204pp)
C 68037 cv=11059 gcd=11990 #7-13 0.95 | GCD 24729 row 356986 reprints Legion of Super-Heroes (2005) #7-13 = CV 11059 / GCD 11990, following Vol. 01's #1-6
I 68038 cv=267799 gcd=358532 isbn=1-4012-0916-5 0.95 | Vol. 03 Strange Visitor from Another Century (143pp): CV 39683 issue 267799 "Volume 3" (2006-10-31) and GCD 24820 row 358532 (148pp)
C 68038 cv=19189 gcd=17334 #16-19 0.95 | GCD row 358532 reprints Supergirl and the Legion of Super-Heroes (2006) #16-19 = CV 19189 (DC 2006, 21) = GCD 17334 (DC 2006-2008, 22), the retitled middle of the 2005 run
I 68039 cv=267886 gcd=358533 isbn=978-1-4012-1244-5 0.95 | Vol. 04 Adult Education (191pp): CV 39697 issue 267886 "Volume 4" (2007-04-30) and GCD 24821 row 358533 (196pp)
C 68039 cv=19189 gcd=17334 #20-25 0.95 | GCD row 358533 reprints Supergirl and the Legion of Super-Heroes (2006) #20-25 = CV 19189 / GCD 17334, following Vol. 03's #16-19
I 68040 cv=267887 gcd=372049 isbn=978-1-4012-1442-5 0.95 | Vol. 05 Dominator War (122pp): CV 39698 issue 267887 "Volume 5" (2007-09-30) and GCD 26345 row 372049 (132pp)
C 68040 cv=19189 gcd=17334 #26-30 0.95 | GCD row 372049 reprints Supergirl and the Legion of Super-Heroes (2006) #26-30 = CV 19189 / GCD 17334
I 68041 cv=267888 gcd=514498 isbn=978-1-4012-1695-5 0.95 | Vol. 06 The Quest for Cosmic Boy (145pp): CV 39699 issue 267888 "Volume 6" (2008-04-30) and GCD 30365 row 514498 (148pp)
C 68041 cv=19189 gcd=17334 #31-36 0.95 | GCD row 514498 reprints Supergirl and the Legion of Super-Heroes (2006) #31-36 = CV 19189 / GCD 17334
I 68042 cv=179999 gcd=545566 isbn=9781401219932 0.9 | Vol. 07 Enemy Rising (190pp): CV 29217 issue 179999 "HC/TPB" (2008-10-31) and GCD 32280 row 545566 (hardcover 2008-10, 200pp); the 2009 paperback is GCD 40836 row 691870 (196pp), hence 0.9
C 68042 cv=11059 #37-44 0.95 | GCD's note on row 545566: Legion of Super-Heroes (DC, 2008 series) #37-44; CV 11059 holds #37 "Evil Adventus" … #44 "Enemy Rising, Part 5" (GCD splits #37 into 17334 and #38-44 into 28932)
I 68043 cv=218513 gcd=628602 isbn=978-1-4012-2304-5 0.9 | Vol. 08 Enemy Manifest (143pp): CV 33654 issue 218513 "HC/TPB" (2009-05-31) and GCD 36624 row 628602 (hardcover 2009-05, 152pp); the 2010 paperback is GCD 48912 row 757716 (148pp)
C 68043 cv=11059 gcd=28932 #45-50 0.95 | GCD row 628602 reprints Legion of Super-Heroes (2008) #45-50 = GCD 28932 (#38-50) = CV 11059 #45 "Enemy Manifest Part 1" … #50 "Enemy Manifest Conclusion"

# --- Legion Lost (2011)
S 10681 cv=42686 gcd=59312 0.95 | signals b (per-file CV 10944, the 2000 mini, on 3/3) and d (#314) are benign: the three files are Legion Lost Vol. 01 (twice) and Vol. 02, whose GCD rows (76265: 1139442 roll-up s59312 #1-7, 1139446 #0, #8-16) collect the New 52 Legion Lost = CV 42686 (DC 2011, 17, cached #0-16) = GCD 59312 (2011-2013, 17) end to end; the Vol. 01 duplicate costs nothing — raised from 0.9
F 10681 wrong-cv-link | per-file CV 10944 (Legion Lost 2000, 12) on 3/3 files is the stamp; the 2000 folder name "07 Legion Lost v1 (2000)" on 68000 is a misfiled folder for a 2012 trade
N 10681 flag #314 label-ambiguous (items 68000 / 68050): both are Legion Lost Vol. 01 (150pp, GCD 1139442) — genuinely two rips
I 68000 cv=360195 gcd=1139442 isbn=- 0.9 | "COL Legion Lost Vol. 01 (2012)" 150pp = CV 52731 "Legion Lost: Run From Tomorrow" issue 360195 "Volume 1" and GCD 76265 #1 row 1139442 (roll-up #1-7)
I 68050 cv=360195 gcd=1139442 isbn=- 0.9 | "COL Legion Lost Vol. 01 - Run From Tomorrow (2012)" 150pp, the second rip = CV 52731 issue 360195 and GCD 76265 #1 row 1139442
I 68051 cv=423662 gcd=1139446 isbn=- 0.9 | "COL Legion Lost Vol. 02 - The Culling (2013)" 211pp = CV 66790 "Legion Lost: The Culling" issue 423662 "Volume 2" and GCD 76265 #2 row 1139446 (roll-up #0, #8-16)

# --- Legion of Super-Heroes (2019)
S 65063 cv=122626 gcd=151954 0.9 | signal f (S103316 merged in: the Millennium #1 file) is benign: Vol. 01 Millennium and Vol. 02 The Trial of the Legion (GCD 164678 rows: LSH 2020 #1-6, #7-12) = CV 122626 (DC 2019, 12) = GCD 151954 (2020-2021, 12); 0.9 because "Legion of Super-Heroes - Millennium 01 (of 02) (2019)" is the prelude mini CV 121084 / GCD 150024, its own record
I 68052 cv=806608 gcd=2152863 isbn=978-1-4012-9577-6 0.95 | Vol. 01 Millennium (198pp): CV 130848 issue 806608 "Volume 1" (2020-10-06) and GCD 164678 row #1 2152863 "Millennium" (2020-10-06, 236pp)
C 68052 cv=122626 gcd=151954 #1-6 0.95 | GCD's note on row 2152863: Legion of Super-Heroes (DC, 2020 series) #1-6 = CV 122626 / GCD 151954 (12 issues)
C 68052 cv=121084 gcd=150024 #1-2 0.95 | GCD's note on row 2152863 also names Legion of Super-Heroes: Millennium (DC, 2019 series) #1-2 = CV 121084 (DC 2019, 2) = GCD 150024 (DC 2019, 2)
I 68053 cv=842635 gcd=2216908 isbn=978-1-77950-563-7 0.95 | Vol. 02 The Trial of the Legion (145pp): CV 135350 issue 842635 "Volume 2" (2021-04-14) and GCD 164678 row #2 2216908 (2021-04-13, 164pp, collects LSH 2020 #7-12)

# --- Lobo: A Contract on Gawd (1994) — the two misfiled books turned into split moves
S 10820 cv=19235 gcd=14700 0.9 | signal b (per-file CV 18356, Lobo 1993, on 5/6) is the stamp: the run is "Lobo - A Contract on Gawd 001-04 (of 04) (1994)" in its own folder = CV 19235 (DC 1994, 4, cached #1-4) = GCD 14700 (1994, limited series, 4, per-file 4/4); ladder 1-4 complete; 0.9 until the two foreign books below leave
F 10820 split-needed | 18050 -> join S94655 — "36 Lobo 1000000 (1998)" 26pp (One Million read-order folder) is Lobo (1993) #1,000,000, S94655's run (cv=18356 gcd=14695); 68171 -> join S10831 — "COL Lobo by Keith Giffen & Alan Grant Vol. 01 (2018)" 320pp is volume 1 of the two-volume line S10831 holds volume 2 of (cv=108107 gcd=120374)
N 10820 no C line for item 68171: its GCD roll-up (1777757) reprints Lobo (1990) #1-4, Lobo's Back #1-4, the Convention Special and Who's Who pages — several runs, none of them this 1994 mini
I 68171 cv=655482 gcd=1777757 isbn=978-1-4012-7477-1 0.95 | the book's own record: CV 108107 "Lobo by Keith Giffen & Alan Grant" 2018 DC count 2 = issue 655482 "Volume 1" and GCD 120374 #1 row 1777757 (324pp)

# --- Midnighter (2007)
S 94842 cv=18243 gcd=23583 0.95 | signal e (38 files) is two rips of one run: "Midnighter 001-020 (2007-2008)" in DC\_Midnighter\01 Midnighter v1 (2007) (20) and Wildstorm\The Authority\Midnighter v1 (2007) (18) = CV 18243 (DC 2007, cached #1-20) = GCD 23583 "The Midnighter" (2007-2008, 20); duplicate rips cost nothing — raised from 0.9; per-file GCD 27650 (the 3-volume collected edition) on 6 files is a stamp

# --- Midnighter (2015)
S 12032 cv=82386 gcd=89717 0.9 | signal b (per-file CV 18243, the 2007 series, on 3/3) is the stamp: Vol. 01 Out (GCD 1536954: s89717 #1-7), Vol. 02 Hard (1639199: #8-12) and The Complete Collection (2411544: #1-12 + Midnighter and Apollo #1-6) = CV 82386 (DC 2015, 12) = GCD 89717 (2015-2016, 12), ComicInfo Volume 2015 x3; 0.9 for the Midnighter and Apollo sequel inside the Complete Collection (C line below)
F 12032 wrong-cv-link | per-file CV 18243 (Midnighter 2007) on 3/3 files is the relaunch stamp
I 68417 cv=516061 gcd=1536954 isbn=- 0.9 | "COL Midnighter Vol. 01 - Out (2016)" 161pp = CV 88213 "Midnighter" (2016, 2) issue 516061 "Vol. 1: Out" and GCD 97265 #1 row 1536954 (roll-up s89717 #1-7)
I 68418 cv=553929 gcd=1639199 isbn=- 0.9 | "COL Midnighter Vol. 02 - Hard (2016)" 168pp = CV 88213 issue 553929 "Vol. 2: Hard" and GCD 97265 #2 row 1639199 (roll-up s89717 #8-12)
I 69953 cv=- gcd=2411544 isbn=- 0.9 | "COL Midnighter - The Complete Collection (2022)" 426pp = GCD row 2411544 "Midnighter: The Complete Collection" (collects Midnighter 2015 #1-12, Midnighter and Apollo #1-6, DC Sneak Peek: Midnighter #1)
C 69953 cv=94648 gcd=107876 #1-6 0.95 | The Complete Collection also collects Midnighter and Apollo (DC 2016, 6-issue mini: CV 94648 / GCD 107876) #1-6 per GCD 2411544's notes and roll-up — a run other than this shelf's

# --- Nightwing (1996) — the later-run issues turned into split moves
S 65356 cv=5755 gcd=5516 0.9 | signals e (116 files) and f (S103500 merged) are benign for the run, and the L-365 grep finds the foreign files: "Nightwing 000.5, 065-153 (1997-2009)", the 80-Page Giant, Annual 02 (2007), #1,000,000, the Countdown Ra's al Ghul chapters #138-139 and Vol. 01-08 + the Year One deluxe (GCD roll-ups s5516 #1-8 … #61-70, #101-106) = CV 5755 (DC 1996, 155, cached #1-153) = GCD 5516 (1996-2009, 154); the a-I signal (5755 on an I line of S5149, "Deadpool by Skottie Young") is that other shelf's error, not this one's; 0.9 for the #0.5 / 80-Page Giant / Annual and The Flash Plus Nightwing one-shot, plus the five later-run issues that leave by split
F 65356 split-needed | 18264 ("010 Nightwing 008 - June 2012", Night of the Owls folder) -> join S94871 (Nightwing 2011, cv=42720); 19073, 19076 ("Nightwing 005/006 (2016)", Night of the Monster Men folder) and 61476, 61477 ("Nightwing 084/085 (2021)", Fear State tie-ins folder) -> join S94872 (Nightwing 2016, cv=92569 gcd=104515)
F 65356 misfiled | item 69963 "The Flash Plus Nightwing 001 (1996)" 39pp is its own one-shot (filed in "_Trades, Minis and One-shots\The Flash Plus Nightwing (1996)"), not an issue of the run
N 65356 the a-I signal: an I line on S5149 (Deadpool by Skottie Young) names cv 5755, a VOLUME id of this run used where an issue id belongs — that line should be checked by the lead
I 68564 cv=471950 gcd=1389228 isbn=9781401251444 0.95 | Vol. 01 Blüdhaven 287pp = CV 78544 issue 471950 "Volume 1" and GCD 89991 #1 row 1389228 (292pp)
C 68564 cv=5514 gcd=5244 #1-4 0.95 | Vol. 01 also collects the 1995 Nightwing mini (CV 5514 / GCD 5244, 4 issues) #1-4 per GCD's roll-up for row 1389228
I 68565 cv=491503 gcd=1389229 isbn=9781401255336 0.95 | Vol. 02 Rough Justice 293pp = CV 82533 issue 491503 and GCD 89991 #2 row 1389229 (300pp)
I 68566 cv=509688 gcd=1516907 isbn=9781401258559 0.95 | Vol. 03 False Starts 291pp = CV 86985 issue 509688 and GCD 89991 #3 row 1516907 (300pp)
C 68566 gcd=14159 #1-4 0.95 | Vol. 03 also collects Nightwing and Huntress (DC 1998, GCD 14159) #1-4 per GCD's roll-up for row 1516907
I 68567 cv=526025 gcd=1559088 isbn=9781401260873 0.95 | Vol. 04 Love and Bullets 297pp = CV 89797 issue 526025 and GCD 89991 #4 row 1559088 (308pp)
I 68568 cv=555497 gcd=1641209 isbn=9781401265021 0.95 | Vol. 05 The Hunt for Oracle 332pp = CV 95230 issue 555497 and GCD 89991 #5 row 1641209 (348pp)
C 68568 gcd=6991 #20-21 0.9 | Vol. 05 also collects Birds of Prey (DC 1999 series, GCD 6991) #20-21 per GCD's roll-up for row 1641209
I 68569 cv=608186 gcd=1721558 isbn=9781401270810 0.95 | Vol. 06 To Serve and Protect 257pp = CV 102768 issue 608186 and GCD 89991 #6 row 1721558 (268pp)
I 68570 cv=659989 gcd=1784519 isbn=9781401277567 0.95 | Vol. 07 Shrike 255pp = CV 108747 issue 659989 "Volume 7" and GCD 89991 #7 row 1784519 (268pp)
I 68571 cv=692043 gcd=1872600 isbn=9781401285050 0.95 | Vol. 08 Lethal Force 243pp = CV 115268 issue 692043 "Volume 8" and GCD 89991 #8 row 1872600 (252pp)
I 68780 cv=1068707 gcd=2649555 isbn=9781779527172 0.95 | "Nightwing - Year One - 20th Anniversary Deluxe Edition" 207pp = CV 159618 issue 1068707 and GCD 214182 row 2649555 (208pp; collects Nightwing (DC, 1996 series) #101-106)

# --- Nightwing (2016)
S 94872 cv=92569 gcd=104515 0.9 | signals b (per-file CV 5755, Nightwing 1996, on 170/178) and e (178 files, 147 of them 1pp variant covers) are benign: the one continuously numbered Nightwing (DC 2016) across the "v4.1 (2016)", "v4.2 (2021)" and "v4.3 (2024)" folders — #1-122 with gaps, Rebirth Deluxe Books 01-03 (GCD 117860: #1-15, #16-28, #29-43), Vol. 01-11 (GCD 111678) and the 2021 Vol. 01-05 (GCD 179196: #78-83 … #101-105) = CV 92569 (DC 2016, 138, cached #1-134) = GCD 104515 (2016-?, 138, per-file 146/178); #5-6 and #84-85 join from S65356; 0.9 for Nightwing: Rebirth #1 (CV 92193, its own one-shot record), the 2022 Annual and Annual 001 (2024)
F 94872 wrong-cv-link | CV per-file matcher stamped the 1996 Nightwing volume (5755) across 170/178 files; the true CV volume is 92569
N 94872 the overlap flag #630 is Dismissed; the three Vol. 01s are three trade numberings of this one run (GCD 111678, 179196/201017)
I 19065 cv=539219 gcd=1602198 0.95 | "Nightwing - Rebirth 001 (2016) (2 covers)" 27pp = CV 92193 issue 539219 = GCD 104136 #1 row 1602198 (2016-07-13, 44pp), the one-shot
I 68582 cv=632475 gcd=1745603 isbn=9781401273750 0.95 | Book 01 380pp = CV 105545 issue 632475 ("Book 1") = GCD 117860 #1 1745603 (392pp)
C 68582 cv=92569 gcd=104515 #1-15 0.95 | Book 1 collects Nightwing (DC 2016, CV 92569 / GCD 104515) #1-15 per GCD row 1745603's note
C 68582 cv=92193 gcd=104136 #1-1 0.95 | Book 1 also collects Nightwing: Rebirth (DC 2016, one-shot, CV 92193 / GCD 104136) #1 per GCD row 1745603's note
I 68583 cv=670096 gcd=1808287 isbn=978-1-4012-7892-2 0.95 | Book 02 300pp = CV 105545 issue 670096 ("Book 2") = GCD 117860 #2 1808287 (320pp, roll-up s104515 #16-28)
I 68584 cv=698588 gcd=1912364 isbn=978-1-4012-8567-8 0.95 | Book 03 344pp = CV 105545 issue 698588 ("Book 3") = GCD 117860 #3 1912364 (360pp, #29-43)
I 68585 cv=- gcd=1669833 isbn=9781401268039 0.9 | Vol. 01 Better Than Batman (2017) 165pp = GCD 111678 #1 row 1669833 (172pp, Rebirth #1 + #1-4, #7-8)
I 68586 cv=- gcd=1713946 isbn=9781401270858 0.9 | Vol. 02 Back to Blüdhaven (2017) 170pp = GCD 111678 #2 row 1713946 (172pp, #9-15)
I 68587 cv=- gcd=1735441 isbn=9781401273767 0.9 | Vol. 03 Nightwing Must Die! (2017) 142pp = GCD 111678 #3 row 1735441 (148pp, #16-21)
I 68588 cv=- gcd=1776096 isbn=978-1-4012-7533-4 0.9 | Vol. 04 Blockbuster (2018) 169pp = GCD 111678 #4 row 1776096 (180pp, #22-28)
I 68589 cv=- gcd=1801093 isbn=978-1-4012-7881-6 0.9 | Vol. 05 Raptor's Revenge (2018) 127pp = GCD 111678 #5 row 1801093 (132pp, #30-34)
I 68590 cv=- gcd=1845245 isbn=978-1-4012-8757-3 0.9 | Vol. 06 The Untouchable (2018) 212pp = GCD 111678 #6 row 1845245 (220pp, #35-43)
I 68591 cv=- gcd=1887279 isbn=978-1-4012-8559-3 0.9 | Vol. 07 The Bleeding Edge (2018) 175pp = GCD 111678 #7 row 1887279 (188pp, #44-49 + Annual #1) — the stored row 1784519 is the 1996 run's Shrike
N 68592 no-record | Vol. 08 Knight Terrors (2019) 181pp: GCD 111678 ends at #7 and the stored row 1872600 is the 1996 run's Lethal Force; no row for this 2016-run Vol. 08 in the dump
N 68593 no-record | Vol. 09 Burnback (2020) 145pp: no GCD 111678 row past #7 and the 2021 series 179196 starts at Leaping into the Light; no CV trade volume in the packet
N 68595 no-record | Vol. 11 The Joker War (2021) 247pp: GCD 111678 ends at #7; the page-rematch pick 89991 is the 1996 run's trade line; no own row found
I 68684 cv=- gcd=2286104 isbn=978-1-77951-278-9 0.9 | 2021 Vol. 01 Leaping into the Light 156pp = GCD 179196 #1 row 2286104 (168pp, #78-83); TPB twin 201017 row 2543624
I 68686 cv=- gcd=2469190 isbn=978-1-77951-745-6 0.9 | 2021 Vol. 02 Get Grayson (2022) 149pp = GCD 179196 #2 row 2469190 (168pp, #87-91); TPB twin 201017 row 2592644 — the X-011 row 2419121 was another series
I 68687 cv=- gcd=2551129 isbn=978-1-77952-016-6 0.9 | 2021 Vol. 03 The Battle for Blüdhaven's Heart (2023) 134pp = GCD 179196 #3 row 2551129 (144pp, #92-96); TPB twin 201017 row 2636479
I 68688 cv=- gcd=2588916 isbn=978-1-77952-086-9 0.9 | 2021 Vol. 04 The Leap (2023) 188pp = GCD 179196 #4 row 2588916 (200pp, #97-100 + 2022 Annual #1); TPB twin 201017 row 2648972
I 68689 cv=- gcd=2656619 isbn=978-1-77952-523-9 0.9 | 2021 Vol. 05 Time of the Titans (2024) 148pp = GCD 179196 #5 row 2656619 (160pp, lead stories of #101-105); TPB twin 201017 row 2656620 — the X-011 row 2781341 was a German edition

# --- Poison Ivy (2022)
S 13926 cv=143431 gcd=185771 0.9 | signals c (69121 multi) and e (83 files, 71 of them 1pp variants) are benign: 69121's stored row 2631167 is Vol. 01 (another book) — Unethical Consumption is GCD 212085 #2 row 2647475, collecting #7-12 = the judged range; Poison Ivy (DC 2022) = CV 143431 (44, cached #1-40) = GCD 185771 (2022-?, 45, per-file 77/83), issues #25-30 and Vol. 01-04 (GCD 212085: #1-6, #7-12, #13-18, #19-24); 0.9 for the two one-shots below, their own records
F 13926 misfiled | items 69112 "Poison Ivy - Swamp Thing: Feral Trees" (CV 160666 / GCD 216615, one-shot) and 69113 "Poison Ivy - Uncovered" (CV 152516 / GCD 202481, one-shot) are separate one-shots filed in the run's Annuals and Specials folder
I 69112 cv=- gcd=s216615 0.9 | GCD 216615 "Poison Ivy / Swamp Thing: Feral Trees" 2024 one-shot matches this file's own title and year
I 69113 cv=- gcd=s202481 0.9 | GCD 202481 "Poison Ivy: Uncovered" 2023 one-shot matches this file's own title and year
I 69120 cv=- gcd=2631167 isbn=978-1-77952-503-1 0.9 | Vol. 01 The Virtuous Cycle (2023) 205pp = GCD 212085 #1 row 2631167 (204pp, #1-6) — the X-011 row 2515810 was a German edition
I 69121 cv=- gcd=2647475 isbn=978-1-77952-788-2 0.9 | Vol. 02 Unethical Consumption (2023) 164pp = GCD 212085 #2 row 2647475 (172pp, #7-12)
I 69122 cv=- gcd=2660414 isbn=978-1-77952-941-1 0.9 | Vol. 03 Mourning Sickness (2024) 163pp = GCD 212085 #3 row 2660414 (172pp, #13-18)
I 69123 cv=- gcd=2685248 isbn=978-1-77952-944-2 0.9 | Vol. 04 Origin of Species (2024) 166pp = GCD 212085 #4 row 2685248 (172pp, #19-24)

# --- Power Girl (2023)
S 99357 cv=153721 gcd=203975 0.9 | signals b (per-file CV 26326, Power Girl 2009, on 55/57), e and f (S102981 merged: the House of Brainiac tie-in second rips of #9-10) are benign: Power Girl (DC 2023) #1-17 and Vol. 01 Electric Dreams (GCD 2654258: s203975 #1-7) = CV 153721 (DC 2023, 20, cached #1-20) = GCD 203975 (2023-2025, 20, per-file 55/57); 0.9 for "Power Girl - Uncovered 001 (2024)", a separate one-shot
F 99357 wrong-cv-link | per-file CV 26326 (Power Girl 2009) on 55/57 files is the relaunch stamp
I 69225 cv=1072203 gcd=2654258 isbn=978-1-77952-814-8 0.95 | Vol. 01 Electric Dreams: CV 160195 issue 1072203 ("Vol. 1: Electric Dreams", 2024-08) and GCD 214784 row #1 2654258 (164pp against our 159pp), collecting Power Girl (2023) #1-7
I 69972 cv=1042819 gcd=2604807 isbn=- 0.95 | the one-shot "Power Girl - Uncovered 001 (2024)" (43pp) is its own record: CV 156492 issue 1042819 and GCD 208403 row 2604807 (44pp, 2024-01-30)

# --- Robin (2021) — the run, not its collected series
S 99533 cv=135660 gcd=172101 0.95 | signal c (three C lines "on the S's own run" that do not fit its count) is the old S naming the 3-volume collected series GCD 183398 as the run: the three trades in "Robin v5 (2021)" collect Robin (DC 2021) #1-6, #7-12, #13-17 (GCD 2384364 / 2434167 / 2509949 notes) = CV 135660 "Robin" (DC 2021, 17) = GCD 172101 (2021-2022, 17) end to end — the run wins (trades vs run ruling); nothing else on the shelf
F 99533 wrong-cv-link | CV per-file matcher stamped the 2000 "Robin: Year One" mini (9134) on all 3 files
