# R-144 — triaged 0.9 tier, 40 Marvel shelves (Black Panther, Captain America, Captain Britain / Knights of Pendragon,
# Carnage, Cloak and Dagger, Conan). Three shapes recur: (1) Epic Collection per-book singletons whose old merge-with
# lines never landed (each stored its own count-1 CV volume) -> S cv=- gcd=<line> + wrong-cv-link + split-lane join onto
# the line shelf (L-392 / L-377): Captain America EC -> S3453, Conan Chronicles EC -> S4094 (in-batch anchor; S4092 "Conan Chronicles Epic
# Collection", outside this batch), Black Panther EC -> S2755; (2) per-file CV stamps of another decade's volume on issue
# files (2400 Captain America 1968, 4402 Knights 1990, 11502 Black Panther 2005, 36240 Carnage 2010) -> I lines restate each
# file's own issue; (3) trades whose run lives on another shelf -> the run's ids + merge-with (L-031 / L-324b). Several
# earlier I lines were wrong and are corrected here: X-058's Coates Captain America rows were PANINI DEUTSCHLAND (GCD
# 142421), the Black Panther Vol. 06-08 CV ids were ISSUES of the 2009 run, Winter Soldier's GCD 68861 is the trade line.

# ===== Black Panther =====
S 95617 cv=11502 gcd=12471 0.95 | Hudlin's Black Panther (2005-2008): CV 11502 (Marvel 2005, 41, cached #1-41) and GCD 12471 (Marvel 2005-2008, 41) agree on publisher, span and count; our #7-9, 14-18, 21-30 floppies, the 2pp #39-40 cover-only files and the eight trades Vol. 01-08 (judged #1-6 ... #35-38; CV titles "Back to Africa" #35-38, "See Wakanda and Die" #39-41) are the run and its editions; #18 twice is a duplicate rip
I 77748 cv=132448 gcd=251475 isbn=- 0.95 | "Cloak and Dagger 016 (1991)" = CV 4060 #16 issue 132448 and GCD 14574 #16 row 251475
I 77749 cv=132449 gcd=251476 isbn=- 0.95 | "Cloak and Dagger 017 (1991)" = CV 4060 #17 issue 132449 and GCD 14574 #17 row 251476
I 77750 cv=132450 gcd=251477 isbn=- 0.95 | "Cloak and Dagger 018 (1991)" = CV 4060 #18 issue 132450 and GCD 14574 #18 row 251477
I 77751 cv=132451 gcd=251478 isbn=- 0.95 | "Cloak and Dagger 019 (1991)" 39pp = CV 4060 #19 issue 132451 and GCD 14574 #19 row 251478 (52pp)

# ===== Conan =====
S 96118 cv=2471 gcd=1939 0.9 | Conan the Barbarian (1970-1994): CV 2471 (Marvel 1970, 275) and GCD 1939 (Marvel 1970-1994, 275) agree on publisher, span and count; our #1-213 (two naming conventions, ComicInfo Volume 1970 on 213) and the five "Original Marvel Years Epic Collection" books (GCD 163625, reprinting this one run #1-71) are the run and its editions; 0.9 for the 2022 "No. 1 Facsimile Edition" (its own record)
N 96118 flag #701 (provider-disagrees, item 78063) is right: the old per-file CV row on Epic Vol. 05 was a Conan Omnibus book; its own record is CV 144787 issue 944347 (I line). Flag #712 (span-retracted): GCD row 2383420's own note gives #60-71, restated as a C line below
N 96118 per-file CV 152857 (Titan 2023) on 2 files and 116245 (Marvel 2019) on 1 file are title stamps on this shelf's issue files; which items carry them is not in the packet, so no I line corrects them here
I 77753 cv=- gcd=2287931 isbn=- 0.95 | "Conan The Barbarian - Facsimile Edition 001 (2022)" 36pp = GCD 179544 "Conan the Barbarian No. 1 Facsimile Edition" row 2287931 (2021-12-15, 36pp, reprints #1); the local CV rip holds no volume for it
I 118017 cv=787812 gcd=2145960 isbn=978-1-302-92555-0 0.95 | "Original Marvel Years Epic Collection Vol. 01 - The Coming of Conan (2020)" 326pp = CV 129254 issue 787812 "Volume 1" and GCD 163625 #1 row 2145960 (356pp)
C 118017 cv=2471 gcd=1939 #1-13 0.95 | The Coming of Conan collects Conan the Barbarian (Marvel 1970-1994, 275 issues; CV 2471 = GCD 1939) #1-13 per GCD row 2145960's note, plus Chamber of Darkness #4
I 78061 cv=837519 gcd=2212921 isbn=978-1-302-92655-7 0.95 | "Vol. 02 - Hawks From The Sea (2021)" 267pp = CV 134428 issue 837519 "Volume 2" and GCD 163625 #2 row 2212921 (292pp)
I 118018 cv=876022 gcd=2248636 isbn=978-1-302-92956-5 0.95 | "Vol. 03 - The Curse of the Golden Skull (2021)" 324pp = CV 137983 issue 876022 "Volume 3" and GCD 163625 #3 row 2248636 (340pp)
I 78062 cv=902059 gcd=2282302 isbn=978-1-302-92955-8 0.95 | "Vol. 04 - Queen of the Black Coast (2021)" 345pp = CV 141052 issue 902059 "Volume 4" and GCD 163625 #4 row 2282302 (364pp)
I 78063 cv=944347 gcd=2383420 isbn=978-1-302-93353-1 0.95 | "Vol. 05 - Of Once and Future Kings (2022)" 348pp = CV 144787 issue 944347 "Volume 5" and GCD 163625 #5 row 2383420 (364pp)
C 78063 cv=2471 gcd=1939 #60-71 0.95 | Of Once and Future Kings collects Conan the Barbarian (Marvel 1970-1994, 275 issues; CV 2471 = GCD 1939) #60-71 per GCD row 2383420's own note, plus Annual #2-3 - the range the audit retracted with the wrong CV row

S 94686 cv=2701 gcd=2187 0.9 | The Savage Sword of Conan (1974-1995): CV 2701 (Marvel 1974, 235) and GCD 2187 (Marvel 1974-1995, 235) agree on publisher, span and count; our #1-101 (ComicInfo Volume 1974 on 88), Dark Horse's 22-volume reprint line (CV 21975 / GCD 28720, notes "originally published in The Savage Sword of Conan #...") and three Original Marvel Years Omnibus books are the run and its editions; 0.9 for the 1975 Special (its own record)
N 94686 flag #488 (label-ambiguous, item 22521) is right: 22520 and 22521 are two rips of Vol. 09; per-file CV 47760 / GCD 79162 (Marvel UK reprints) on 13-16 issue files are UK stamps, not a second run
I 79932 cv=187089 gcd=852960 isbn=- 0.95 | the 1975 Special's own records: CV 30357 issue 187089 and GCD 56995 row 852960 (1975-07-15, 92pp)
I 22512 cv=132567 gcd=404983 isbn=978-1-59307-838-6 0.95 | Vol. 01: CV 21975 #1 issue 132567 "Volume One" and GCD 28720 #1 row 404983 (2007-12, 548pp vs our 543pp)
I 22513 cv=132568 gcd=524515 isbn=978-1-59307-894-2 0.95 | Vol. 02: CV 21975 #2 issue 132568 and GCD 28720 #2 row 524515 (2008-02, 548pp vs our 546pp)
I 22514 cv=134394 gcd=535990 isbn=978-1-59307-960-4 0.95 | Vol. 03: CV 21975 #3 issue 134394 and GCD 28720 #3 row 535990 (2008-05, 532pp vs our 528pp)
I 22515 cv=213979 gcd=553239 isbn=978-1-59582-149-2 0.95 | Vol. 04: CV 21975 #4 issue 213979 and GCD 28720 #4 row 553239 (548pp vs our 542pp)
C 22515 cv=2701 gcd=2187 #37-48 0.95 | GCD row 553239's note: Conan stories originally published in The Savage Sword of Conan (Marvel 1974, 235 issues, CV 2701 / GCD 2187) #37-48
I 22516 cv=213980 gcd=640196 isbn=978-1-59582-175-1 0.95 | Vol. 05: CV 21975 #5 issue 213980 and GCD 28720 #5 row 640196 (2009)
C 22516 cv=2701 gcd=2187 #49-60 0.9 | Vol. 05 sits between Vol. 04 (#37-48) and Vol. 06 (#61-71) in GCD's own notes, so it is The Savage Sword of Conan (Marvel 1974, 235) #49-60
I 22517 cv=213981 gcd=673255 isbn=978-1-59582-375-5 0.95 | Vol. 06: CV 21975 #6 issue 213981 and GCD 28720 #6 row 673255 (2009-08, 548pp vs our 545pp)
C 22517 cv=2701 gcd=2187 #61-71 0.95 | GCD row 673255's note: stories from 1981 originally published in The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #61-71
I 22518 cv=214621 gcd=752689 isbn=978-1-59582-510-0 0.95 | Vol. 07: CV 21975 #7 issue 214621 and GCD 28720 #7 row 752689 (2010, 564pp vs our 559pp)
C 22518 cv=2701 gcd=2187 #72-84 0.95 | GCD row 752689's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #72-84
I 22519 cv=237212 gcd=802862 isbn=9781595825827 0.95 | Vol. 08: CV 21975 #8 issue 237212 (2010-09) and GCD 28720 #8 row 802862
I 22520 cv=265739 gcd=802863 isbn=9781595826480 0.95 | Vol. 09: CV 21975 #9 issue 265739 (2011-02) and GCD 28720 #9 row 802863
I 22521 cv=265739 gcd=802863 isbn=9781595826480 0.95 | the second rip of Vol. 09 (Son of Ultron vs Minutemen) - same CV issue 265739 and GCD row 802863
N 22519 Vol. 08 and Vol. 09 together cover The Savage Sword of Conan #85-102 (between Vol. 07's #72-84 and Vol. 10's #103-111); GCD gives neither book's own split, so no C line
I 22522 cv=323486 gcd=874956 isbn=978-1-59582-799-9 0.95 | Vol. 10: CV 21975 #10 issue 323486 and GCD 28720 #10 row 874956 (2011-09-07, 532pp vs our 517pp)
C 22522 cv=2701 gcd=2187 #103-111 0.95 | GCD row 874956's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #103-111
I 22523 cv=334308 gcd=943183 isbn=978-1-59582-903-0 0.95 | Vol. 11: CV 21975 #11 issue 334308 and GCD 28720 #11 row 943183 (2012-05-09)
C 22523 cv=2701 gcd=2187 #112-120 0.9 | Vol. 11 sits between Vol. 10 (#103-111) and Vol. 12 (#121-130) in GCD's notes: The Savage Sword of Conan (Marvel 1974, 235) #112-120
I 22524 cv=365754 gcd=1032819 isbn=978-1-59582-940-5 0.95 | Vol. 12: CV 21975 #12 issue 365754 and GCD 28720 #12 row 1032819 (532pp vs our 523pp)
C 22524 cv=2701 gcd=2187 #121-130 0.95 | GCD row 1032819's note: stories from 1986 in The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #121-130
I 22525 cv=395691 gcd=1098876 isbn=978-1-61655-060-8 0.95 | Vol. 13: CV 21975 #13 issue 395691 and GCD 28720 #13 row 1098876 (532pp vs our 509pp)
C 22525 cv=2701 gcd=2187 #131-140 0.9 | Vol. 13 sits between Vol. 12 (#121-130) and Vol. 14 (#141-150) in GCD's notes; its roll-up also names #131-140: The Savage Sword of Conan (Marvel 1974, 235)
I 22526 cv=423658 gcd=1137708 isbn=978-1-61655-148-3 0.95 | Vol. 14: CV 21975 #14 issue 423658 and GCD 28720 #14 row 1137708 (532pp vs our 527pp)
C 22526 cv=2701 gcd=2187 #141-150 0.95 | GCD row 1137708's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #141-150
I 22527 cv=437463 gcd=1170883 isbn=978-1-61655-149-0 0.95 | Vol. 15: CV 21975 #15 issue 437463 and GCD 28720 #15 row 1170883 (548pp vs our 527pp)
C 22527 cv=2701 gcd=2187 #151-160 0.95 | GCD row 1170883's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #151-160
I 22528 cv=453391 gcd=1207255 isbn=978-1-61655-367-8 0.95 | Vol. 16: CV 21975 #16 issue 453391 and GCD 28720 #16 row 1207255 (532pp vs our 526pp)
C 22528 cv=2701 gcd=2187 #161-170 0.95 | GCD row 1207255's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #161-170
I 22529 cv=465818 gcd=1253451 isbn=978-1-61655-368-5 0.95 | Vol. 17: CV 21975 #17 issue 465818 and GCD 28720 #17 row 1253451 (532pp vs our 526pp)
C 22529 cv=2701 gcd=2187 #171-180 0.95 | GCD row 1253451's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #171-180
I 22530 cv=476764 gcd=1338485 isbn=9781616553692 0.95 | Vol. 18: CV 21975 #18 issue 476764 and GCD 28720 #18 row 1338485 (564pp vs our 560pp)
C 22530 cv=2701 gcd=2187 #181-190 0.95 | GCD row 1338485's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #181-190
I 22531 cv=489882 gcd=1376045 isbn=978-1-61655-575-7 0.95 | Vol. 19: CV 21975 #19 issue 489882 and GCD 28720 #19 row 1376045 (572pp vs our 561pp)
C 22531 cv=2701 gcd=2187 #191-201 0.95 | GCD row 1376045's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #191-201
I 22532 cv=503520 gcd=1480424 isbn=978-1-61655-869-7 0.95 | Vol. 20: CV 21975 #20 issue 503520 and GCD 28720 #20 row 1480424 (580pp vs our 570pp)
C 22532 cv=2701 gcd=2187 #202-212 0.9 | Vol. 20 sits between Vol. 19 (#191-201) and Vol. 21 (#213-223) in GCD's notes: The Savage Sword of Conan (Marvel 1974, 235) #202-212
I 22533 cv=511476 gcd=1528284 isbn=978-1-61655-870-3 0.95 | Vol. 21: CV 21975 #21 issue 511476 and GCD 28720 #21 row 1528284 (604pp vs our 590pp)
C 22533 cv=2701 gcd=2187 #213-223 0.95 | GCD row 1528284's note: The Savage Sword of Conan (Marvel 1974, 235, CV 2701 / GCD 2187) #213-223
I 22534 cv=530690 gcd=1573471 isbn=978-1-61655-871-0 0.95 | Vol. 22: CV 21975 #22 issue 530690 and GCD 28720 #22 row 1573471 (2016-05-18)
C 22534 cv=2701 gcd=2187 #224-235 0.9 | Vol. 22 is the line's last book after Vol. 21's #213-223 and the run ends at #235 on both legs: The Savage Sword of Conan (Marvel 1974, 235) #224-235
N 22512 Vol. 01-03 together cover The Savage Sword of Conan #1-36 (Vol. 04 starts at #37); GCD gives none of the three its own range, so no C lines for items 22512-22514
I 78090 cv=824089 gcd=2186050 isbn=978-1-302-92245-0 0.95 | Original Marvel Years Omnibus Book 04: CV 117763 #4 issue 824089 and GCD 142390 #4 row 2186050 (2021-01-06, 984pp vs our 942pp)
I 78091 cv=869601 gcd=2238351 isbn=978-1-302-92693-9 0.95 | Omnibus Book 05: CV 117763 #5 issue 869601 and GCD 142390 #5 row 2238351 (2021-07-07, 776pp vs our 738pp)
I 78092 cv=941410 gcd=2302044 isbn=978-1-302-92694-6 0.95 | Omnibus Book 06: CV 117763 #6 issue 941410 and GCD 142390 #6 row 2302044 (2022-01-19, 1024pp vs our 957pp)
N 78090 Omnibus Books 04-06 continue after Book 03's The Savage Sword of Conan #29-44 (GCD row 2134366); GCD states no range for Books 04-06, so no C lines

# --- Conan Chronicles Epic Collection: five per-book shelves join S4094 (Vol. 01), the in-batch anchor of the line ---
S 4094 cv=- gcd=139728 0.9 | volume 01 "Out of the Darksome Hills" of the Conan Chronicles Epic Collection LINE: GCD 139728 (Marvel 2019-2021, 8) #1 row 1918506 (500pp, ISBN 978-1-302-91590-2) is our 487pp book; the line reprints Dark Horse's Conan (2004), Conan the Cimmerian, Road of Kings and Conan the Barbarian (2012) - several runs - and CV 116963 is only this book's count-1 volume
F 4094 wrong-cv-link | the stored CV 116963 "Conan Chronicles Epic Collection: Out of the Darksome Hills" is the Vol. 01 book's own count-1 volume, not the line
N 4094 this shelf is the in-batch anchor of the line (Vol. 01); its five siblings join it below. S4092 (Vol. 08, ParsedKey "Conan Chronicles Epic Collection", S line still cv=144409) and S4096 (Vol. 07) are outside this batch and owe the same S cv=- gcd=139728 + join - the lead may prefer S4092's plain key as the final anchor
I 78200 cv=700134 gcd=1918506 isbn=978-1-302-91590-2 0.95 | Vol. 01 "Out of the Darksome Hills" 487pp = CV 116963 issue 700134 and GCD 139728 #1 row 1918506 (500pp)
C 78200 cv=10612 gcd=11511 #1-19 0.95 | Vol. 01 collects Dark Horse's Conan (2004-2008, 50 issues; CV 10612 = GCD 11511) #1-19 per GCD row 1918506's note, plus Conan: The Legend #0
S 4098 cv=- gcd=139728 0.9 | volume 02 "The Heart of Yag-Kosha" of the same LINE: GCD 139728 #2 row 1944114 (508pp, ISBN 978-1-302-91591-9) is our 495pp book; CV 118120 is only its count-1 book volume (issue 705469)
F 4098 wrong-cv-link | the stored CV 118120 "Conan Chronicles Epic Collection: The Heart of Yag-Kosha" is the Vol. 02 book's own count-1 volume, not the line
F 4098 split-needed | item 78201 -> join S4094 on its ParsedKey "Conan Chronicles Epic Collection: Out Of The Darksome Hills" (S4094's S line here is the same GCD 139728 line; L-377 / L-392); the shelf empties by the join
I 78201 cv=705469 gcd=1944114 isbn=978-1-302-91591-9 0.95 | Vol. 02 "The Heart of Yag-Kosha" 495pp = CV 118120 issue 705469 and GCD 139728 #2 row 1944114 (508pp)
C 78201 cv=10612 gcd=11511 #20-39 0.95 | Vol. 02 collects Dark Horse's Conan (2004-2008, 50 issues; CV 10612 = GCD 11511) #20-39 per GCD row 1944114's note
S 4095 cv=- gcd=139728 0.9 | volume 03 "Return to Cimmeria" of the same LINE: GCD 139728 #3 row 2019810 (500pp, ISBN 978-1-302-91602-2) is our 494pp book; CV 121733 is only its count-1 book volume (issue 721167)
F 4095 wrong-cv-link | the stored CV 121733 "Conan Chronicles Epic Collection: Return To Cimmeria" is the Vol. 03 book's own count-1 volume, not the line
F 4095 split-needed | item 78202 -> join S4094 on its ParsedKey "Conan Chronicles Epic Collection: Out Of The Darksome Hills" (S4094's S line here is the same GCD 139728 line; L-377 / L-392); the shelf empties by the join
I 78202 cv=721167 gcd=2019810 isbn=978-1-302-91602-2 0.95 | Vol. 03 "Return to Cimmeria" 494pp = CV 121733 issue 721167 and GCD 139728 #3 row 2019810 (500pp)
C 78202 cv=10612 gcd=11511 #40-50 0.95 | Vol. 03 collects Dark Horse's Conan (2004-2008, 50 issues; CV 10612 = GCD 11511) #40-50 per GCD row 2019810's note
C 78202 cv=21896 gcd=31174 #0-7 0.95 | Vol. 03 also collects Conan the Cimmerian (Dark Horse 2008-2010, 26 issues; CV 21896 = GCD 31174) #0-7 per GCD row 2019810's note
S 4097 cv=- gcd=139728 0.9 | volume 04 "The Battle of Shamla Pass" of the same LINE: GCD 139728 #4 row 2059018 (568pp, ISBN 978-1-302-92191-0) is our 449pp book; CV 123866 is only its count-1 book volume (issue 731987)
F 4097 wrong-cv-link | the stored CV 123866 "Conan Chronicles Epic Collection: The Battle of Shamla Pass" is the Vol. 04 book's own count-1 volume, not the line
F 4097 split-needed | item 78203 -> join S4094 on its ParsedKey "Conan Chronicles Epic Collection: Out Of The Darksome Hills" (S4094's S line here is the same GCD 139728 line; L-377 / L-392); the shelf empties by the join
I 78203 cv=731987 gcd=2059018 isbn=978-1-302-92191-0 0.9 | Vol. 04 "The Battle of Shamla Pass" 449pp = CV 123866 issue 731987 and GCD 139728 #4 row 2059018 (568pp); 0.9 because our rip is 119pp short of print
C 78203 cv=21896 gcd=31174 #8-25 0.95 | Vol. 04 collects Conan the Cimmerian (Dark Horse 2008-2010, 26 issues; CV 21896 = GCD 31174) #8-25 per GCD row 2059018's note
S 4093 cv=- gcd=139728 0.9 | volume 05 "Horrors Beneath the Stones" of the same LINE: GCD 139728 #5 row 2164561 (460pp, ISBN 978-1-302-92327-3) is our 419pp book; CV 130784 is only its count-1 book volume (issue 805268)
F 4093 wrong-cv-link | the stored CV 130784 "Conan Chronicles Epic Collection: Horrors Beneath the Stones" is the Vol. 05 book's own count-1 volume, not the line
F 4093 split-needed | item 78204 -> join S4094 on its ParsedKey "Conan Chronicles Epic Collection: Out Of The Darksome Hills" (S4094's S line here is the same GCD 139728 line; L-377 / L-392); the shelf empties by the join
I 78204 cv=805268 gcd=2164561 isbn=978-1-302-92327-3 0.95 | Vol. 05 "Horrors Beneath the Stones" 419pp = CV 130784 issue 805268 and GCD 139728 #5 row 2164561 (460pp)
C 78204 cv=37497 gcd=54155 #1-12 0.95 | Vol. 05 collects Conan: Road of Kings (Dark Horse 2010-2012, 12 issues; CV 37497 = GCD 54155) #1-12 per GCD row 2164561's note
C 78204 cv=44351 gcd=63224 #1-6 0.95 | Vol. 05 also collects Conan the Barbarian (Dark Horse 2012-2014, 25 issues; CV 44351 = GCD 63224) #1-6 per GCD row 2164561's note
S 4099 cv=- gcd=139728 0.9 | volume 06 "The Song of Belit" of the same LINE: GCD 139728 #6 row 2195880 (476pp, ISBN 978-1-302-92328-0) is our 435pp book; CV 133357 is only its count-1 book volume (issue 825512)
F 4099 wrong-cv-link | the stored CV 133357 "Conan Chronicles Epic Collection: The Song of Bêlit" is the Vol. 06 book's own count-1 volume, not the line
F 4099 split-needed | item 78205 -> join S4094 on its ParsedKey "Conan Chronicles Epic Collection: Out Of The Darksome Hills" (S4094's S line here is the same GCD 139728 line; L-377 / L-392); the shelf empties by the join
I 78205 cv=825512 gcd=2195880 isbn=978-1-302-92328-0 0.95 | Vol. 06 "The Song of Belit" 435pp = CV 133357 issue 825512 and GCD 139728 #6 row 2195880 (476pp)
C 78205 cv=44351 gcd=63224 #7-25 0.95 | Vol. 06 collects Conan the Barbarian (Dark Horse 2012-2014, 25 issues; CV 44351 = GCD 63224) #7-25 per GCD row 2195880's note

S 15102 cv=117080 gcd=140323 0.95 | Savage Sword of Conan (2019-2020): CV 117080 (Marvel 2019, 12, "The Cult of Koga Thun Part One-Five" #1-5, "Conan the Gambler" #7-9) and GCD 140323 (Marvel 2019-2020, 12, legacy #236-247) agree on publisher, span and count; our #12, the Vol. 01 / Vol. 02 trades and the black-and-white edition of Vol. 01 are the run and its editions
F 15102 wrong-cv-link | per-file CV 2701 (the 1974 magazine) on one file and 120321 (the Vol. 01 trade record) on another are stamps; the per-file GCD 28720 (Dark Horse's collected line, round2-series) is wrong too - each book's own record is on its I line
I 78349 cv=730343 gcd=2047436 isbn=- 0.95 | "Savage Sword of Conan 012 (2020)" 28pp = CV 117080 #12 issue 730343 "Conan the Searcher" and GCD 140323 #12 (247) row 2047436
I 78350 cv=714445 gcd=2282334 isbn=978-1-302-91693-0 0.95 | "Vol. 01 - The Cult of Koga Thun (2019)" 128pp = CV 120321 issue 714445 "Volume 1" and GCD 149129 row 2282334 (132pp)
C 78350 cv=117080 gcd=140323 #1-5 0.95 | The Cult of Koga Thun collects The Savage Sword of Conan (Marvel 2019, 12 issues; CV 117080 = GCD 140323) #1-5, CV's "The Cult of Koga Thun Part One-Five"
I 78351 cv=733879 gcd=2270117 isbn=978-1-302-91694-7 0.95 | "Vol. 02 - Conan The Gambler (2020)" 136pp = CV 124291 issue 733879 "TPB" and GCD 177097 row 2270117 (140pp)
I 79939 cv=714446 gcd=- isbn=- 0.9 | "The Cult of Koga Thun (Black and White Edition) (2019)" 128pp = CV 120335 issue 714446; GCD indexes only the colour edition (149129 row 2282334)
C 79939 cv=117080 gcd=140323 #1-5 0.9 | collects The Savage Sword of Conan (Marvel 2019, 12 issues) #1-5: CV 117080's #1-5 are titled 'The Cult of Koga Thun Part One' through 'Part Five', the book's own subtitle
