# R-053 — the P-013 split's shelves in pair groups: the legacy Amazing Spider-Man and its four later runs, Wolverine (1988) and its seven
# siblings, X-Men (1991) and its eleven siblings, plus the Day of the Atom revisit. Most shelves were read before (R-026..R-050, C-035..C-064);
# this pass re-reads each after the joins landed, restates its identity, and re-declares every book line on it (I lines are never optional).
# Surprises: (1) the Amazing Spider-Man legacy title has no single record on either leg — CV 2127 spans 1963 #1-441 + 2003 #500-700 and keeps
# the 1999 #1-58 apart (CV 78701), GCD spans 1999 #1-58 + #500-700 as 11288 and keeps 1963-1998 as 1570; (2) the X-Men Omnibus files carry
# crossed ComicInfo Web ids — page count decides (Book 01 771pp = Volume 1 776pp, Book 02 905pp = Volume Two 920pp); (3) the 2022 ASM shelf
# now holds the run, not the Zeb Wells trade line C-035 gave it.

# ---- Amazing Spider-Man ---------------------------------------------------------------------------------------------------------------

S 64133 cv=2127 gcd=1570 0.9 | the KEPT legacy shelf: "01 Amazing Spider-Man v1 (1963)" #1-441 (1963-1998) + "03 ... v1 (2003)" #500-700 incl. 654.1/679.1/699.1 = CV 2127 "The Amazing Spider-Man" (Marvel 1963, 651 = 441 + the #500-700.x stretch, cached 651) whose span is exactly our ladder 1-441 + 500-700; GCD 1570 (Marvel 1963-1998, 443) is the same run's first 441 numbers (379 per-file links); ComicInfo Volume "1963" x7, Count "681", Web 64599/64433; residue that is a different comic caps 0.9: the Annual #1-42 (38 files, own series CV 2189 / GCD 1635), four Facsimile Editions (own one-shot records), and the 1999 v2 #20-58 (see N)
S 103816 cv=10731 gcd=11638 0.9 | split-reader ids CONFIRMED for the new "X-Men (2004)" shelf: "X-Men #157-207" (X-Men Legacy folder, 50) + the Complete Chronology rips "X-Men 157-207 (2004-2008)" + item 86010 #187 = CV 10731 "X-Men" (Marvel 2004, 51, cached #157-207 — Black Holes .. Messiah CompleX Chapter Thirteen) = GCD 11638 (Marvel 2004-2008, 51), per-file GCD 11638 on 52/105; ComicInfo Volume "2004"; ladder 157-207 is exactly both spans; Vol. 02 Golgotha (roll-up s11638 #166-170) and Vol. 03 Bizarre Love Triangle (#171-174) are the run's own trades and cost nothing; 0.9 for the X-Men Annual 2007 (own volume CV 18169 / GCD 22334)
F 103816 needs-fetch cv=10731 | named from the rip only; no CvVolume row
N 103816 the per-file CV 43640 (Panini France "X-Men" 1997) on 103/105 files is the foreign stamp, rejected; the run's Vol. 01 Day of the Atom lives on S103267, which this batch merges here
I 86012 cv=185344 gcd=1072836 0.95 | "COL X-Men Vol. 02 - Golgotha (2014)" 115pp = CV "X-Men: Golgotha" issue 185344 and GCD row 1072836 (roll-up s11638 X-Men 2004 #166-170)
C 86012 cv=10731 gcd=11638 #166-170 0.95 | Golgotha collects X-Men (Marvel 2004, 51; CV 10731 / GCD 11638) #166-170 per GCD row 1072836's roll-up — CV 10731 names #166-170 "Golgotha, Part 1-5"
I 86013 cv=185346 gcd=1102481 0.95 | "COL X-Men Vol. 03 - Bizarre Love Triangle (2015)" 97pp = CV "X-Men: Bizarre Love Triangle" issue 185346 and GCD row 1102481 (notes: X-Men (Marvel, 2004 series) #171-174)
C 86013 cv=10731 gcd=11638 #171-174 0.95 | Bizarre Love Triangle collects X-Men (Marvel 2004, 51) #171-174 per GCD notes of row 1102481 — CV 10731 names #171-174 "Bizarre Love Triangle, Part 1-4"
I 86308 cv=106389 gcd=342290 0.95 | "X-Men Annual 2007" 40pp = CV 18169 "X-Men Annual" (Marvel 2007, 1) issue 106389 "Covenant" and GCD 22334 "X-Men Annual" (2007, 1) row 342290 (52pp, 2007-02-07)

S 103267 cv=10731 gcd=11638 0.95 | REVISIT of R-039: both files are "X-Men - Day of the Atom (2014)" (215pp / 211pp), the trade of X-Men (2004) #157-165 (GCD row 580402's roll-up = s11638 #157-165; CV 10731 names #159 "Day of the Atom"); R-039 wrote the book's own record only because the 2004 run had no shelf — it now has S103816, so by RUN wins (a one-run trade goes to its run) the shelf takes the run's CV 10731 (Marvel 2004, 51) and GCD 11638 (2004-2008, 51); the TPB records CV 30239 / GCD 34747 stay on the I lines
F 103267 merge-with=103816 | S103816 "X-Men (2004)" is the run this trade collects; both S lines carry cv=10731, so the merge lands through the shared CV (run wins)
I 86011 cv=186417 gcd=580402 0.9 | "COL X-Men Vol. 01 - Day of the Atom (2014)" 215pp = CV 30239 "X-Men: Day of the Atom" issue 186417 "TPB" and GCD 34747 row 580402 (the 2005 printing, no page count; our file is the 2014 digital edition)
C 86011 cv=10731 gcd=11638 #157-165 0.95 | Day of the Atom collects X-Men (Marvel 2004, 51; CV 10731 / GCD 11638) #157-165 per GCD row 580402's roll-up
I 93039 cv=186417 gcd=580402 0.9 | the second rip "COL X-Men - Day of the Atom (2014)" 211pp = CV 30239 issue 186417 and GCD 34747 row 580402
C 93039 cv=10731 gcd=11638 #157-165 0.95 | the second rip of Day of the Atom collects X-Men (Marvel 2004, 51) #157-165 per GCD row 580402's roll-up

S 22374 cv=20691 gcd=29823 0.9 | X-Men: Legacy (2008-2012) #208-275 incl. #260.1, continuing X-Men's numbering: the stored CV 20691 "X-Men: Legacy" (Marvel 2008, cached #208-275) = GCD 29823 (Marvel 2008-2012, 69), per-file CV 20691 on 74/102 and GCD 29823 on 72/102; the joined "X-Men #208-226 (Legacy)" and Original Sin #217-218 rips fall inside; the seven trades' GCD rows all sit in s29823 (#219-225 … #260.1-265) and are the run's own editions; 0.9 for the 2009 Annual, one Skrull variant cover and the Second Coming crossover trade
I 86222 cv=246739 gcd=2813359 0.95 | Vol. 04 "Salvage" 170pp = CV "X-Men Legacy: Salvage" issue 246739 and GCD row 2813359 (reprints s29823 #219-225)
I 86224 cv=197508 gcd=2795830 0.95 | Vol. 06 "Emplate" 115pp = CV 31611 issue 197508 and GCD row 2795830 (reprints s29823 #228-230 + the 2009 Annual)
I 86225 cv=236300 gcd=2766236 0.95 | Vol. 08 "Second Coming" 354pp = CV 35716 "X-Men: Second Coming" (2010, HC) issue 236300 and GCD 227085 row 2766236 (352pp, ISBN 978-0-7851-4678-0)
C 86225 cv=32271 gcd=46027 #1-2 0.95 | the Second Coming crossover trade reprints X-Men: Second Coming (Marvel 2010, 2; CV 32271 / GCD 46027) #1-2 per GCD row 2766236
C 86225 cv=20511 gcd=29506 #26-28 0.95 | the Second Coming trade reprints X-Force (Marvel 2008-2010, 28; CV 20511 / GCD 29506) #26-28 per GCD row 2766236
C 86225 cv=26327 gcd=36520 #12-14 0.95 | the Second Coming trade reprints New Mutants (Marvel 2009-2012, 50; CV 26327 / GCD 36520) #12-14 per GCD row 2766236
I 86226 cv=266431 gcd=2756403 0.95 | Vol. 09 "Collision" 102pp = CV 39444 issue 266431 and GCD row 2756403 (reprints s29823 #238-241)
I 86227 cv=289609 gcd=2729340 0.95 | Vol. 10 "Aftermath" 118pp = CV 42402 issue 289609 and GCD row 2729340 (reprints s29823 #242-244, #248-249)
I 86228 cv=295216 gcd=2719353 0.95 | Vol. 12 "Lost Legions" 115pp = CV issue 295216 and GCD row 2719353 (reprints s29823 #250-253)
I 86230 cv=345527 gcd=2685474 0.95 | Vol. 14 "Back to School" 143pp = CV 50403 issue 345527 and GCD row 2685474 (reprints s29823 #260.1, #261-265)

S 22445 cv=40911 gcd=73174 0.9 | Age of X ran across X-Men: Legacy and New Mutants, so no run of its own exists and the collected record is the identity: CV 40911 "X-Men: Age of X" (Marvel 2011, 1, issue 275854) = GCD 73174 (2011, 1, row 1097592, 264pp); the joined "COL X-Men Vol. 20 - Age of X (2011)" 246pp is a second rip of the same book as item 117962 (248pp); 0.9 because GCD also carries a same-name 2011 stub 223517
I 86018 cv=275854 gcd=1097592 0.95 | the joined "COL X-Men Vol. 20 - Age of X (2011)" 246pp = CV 40911 issue 275854 and GCD 73174 row 1097592 (264pp)
C 86018 cv=20691 gcd=29823 #245-247 0.95 | Age of X collects X-Men: Legacy (Marvel 2008-2012; CV 20691 / GCD 29823) #245-247 per GCD row 1097592's roll-up
C 86018 cv=26327 gcd=36520 #22-24 0.95 | Age of X also collects New Mutants (Marvel 2009-2012, 50; CV 26327 / GCD 36520) #22-24 per GCD row 1097592
C 86018 gcd=56848 #1-2 0.9 | Age of X also collects Age of X: Universe (Marvel 2011, GCD 56848) #1-2 per GCD row 1097592's roll-up
I 117962 cv=275854 gcd=1097592 0.9 | "COL X-Men - Age of X (2011)" 248pp = CV 40911's only issue 275854 and GCD 73174 row 1097592 (264pp)
C 117962 cv=20691 gcd=29823 #245-247 0.95 | Age of X (this rip) collects X-Men: Legacy (Marvel 2008-2012; CV 20691 / GCD 29823) #245-247 per GCD row 1097592
C 117962 cv=26327 gcd=36520 #22-24 0.95 | Age of X (this rip) also collects New Mutants (Marvel 2009-2012, 50; CV 26327 / GCD 36520) #22-24 per GCD row 1097592

S 66353 cv=137402 gcd=173727 0.9 | X-Men (2021-2024) #1-35, the Krakoa-era v6: the stored CV 137402 "X-Men" (Marvel 2021, 35, cached #1-35) = GCD 173727 (Marvel 2021-2024, 35), per-file GCD 173727 on 49/67; ladder 1-35 = both counts; the joined "X-Men 002 (2021)" 27pp fits; the six "X-Men by Gerry Duggan" trades are the run's own editions; 0.9 for the Annual 001 (2023) and the misfiled Hickman Omnibus below
F 66353 misfiled | item 87990 "COL X-Men by Jonathan Hickman Omnibus (2022)" 680pp reprints X-Men (2019) #1-21, the run on S102430 (which holds another rip of it, item 92979) — it is not this 2021 run's book
F 66353 wrong-cv-link | per-file CV 43640 (Panini France 1997) on 31/67 and 158814 ("X-Men" 2024, the v7 relaunch) on 10/67 are wrong-era stamps by issue number; the #27-35 files dated 2023-2024 are this run's last issues, not the 2024 volume
I 86036 cv=910395 gcd=2365081 isbn=978-1-302-92723-3 0.95 | "X-Men by Gerry Duggan Vol. 01 (2022)" 180pp = CV 141818 "X-Men By Gerry Duggan" #1 issue 910395 and GCD 182166 #1 row 2365081 (188pp); CORRECTS X-058's cv=748557 (a Marauders-line issue)
I 86037 cv=949285 gcd=2434717 isbn=978-1-302-92724-0 0.95 | Vol. 02 (2022) 172pp = CV 141818 #2 issue 949285 and GCD 182166 #2 row 2434717 (180pp); corrects X-058's cv=817886
I 86038 cv=984762 gcd=2497407 isbn=978-1-302-93250-3 0.95 | Vol. 03 (2023) 206pp = CV 141818 #3 issue 984762 and GCD 182166 #3 row 2497407 (212pp); corrects X-058's 0.7 pick cv=1067992 (an X-Men 2024 issue)
I 86039 cv=1020803 gcd=2570953 isbn=978-1-302-94720-0 0.95 | Vol. 04 (2023) 170pp = CV 141818 #4 issue 1020803 and GCD 182166 #4 row 2570953 (172pp); the stored GCD row 1646967 is an Extraordinary X-Men book, rejected
I 86040 cv=1047298 gcd=2613079 isbn=978-1-302-94754-5 0.95 | Vol. 05 (2024) 164pp = CV 141818 #5 issue 1047298 and GCD 182166 #5 row 2613079 (164pp); corrects X-058's cv=300059 (a Panini France issue)
I 86041 cv=1068828 gcd=2654641 isbn=978-1-302-95721-6 0.95 | Vol. 06 (2024) 136pp = CV 141818 #6 issue 1068828 "Volume 6" and GCD 182166 #6 row 2654641 (140pp)
I 87990 cv=913702 gcd=2383445 isbn=978-1-302-92998-5 0.95 | "COL X-Men by Jonathan Hickman Omnibus (2022)" 680pp = CV 142081 "X-Men By Jonathan Hickman Omnibus" issue 913702 (HC) and GCD 183321 row 2383445 (712pp); corrects X-058's gcd=1435868 (an X-Men 2013 book)
C 87990 cv=122077 gcd=151123 #1-21 0.9 | the Hickman Omnibus collects X-Men (Marvel 2019, 21; CV 122077 / GCD 151123) #1-21 — the P-013 reader's roll-up for its twin 92979; a run other than this shelf's 2021 identity

S 102430 cv=122077 gcd=151123 0.95 | X-Men (2019-2021) #1-21, Hickman's Krakoa v5: the stored CV 122077 "X-Men" (Marvel 2019, 21, cached #1-21) = GCD 151123 (Marvel 2019-2021, 21), ComicInfo Volume "2019" x24; ladder 1-21 = both counts; the joined Hickman Omnibus (item 92979) reprints exactly #1-21, the run's own edition, costing nothing; second rips from Empyre / X of Swords / Hellfire Gala folders cost nothing
F 102430 wrong-cv-link | per-file CV 43640 (Panini France "X-Men" 1997, 169) on 26/27 files and GCD 159789 / 170654 (German / Italian editions) are foreign stamps; the English pair is the stored 122077 / 151123
F 102430 needs-fetch cv=142081 | the Hickman Omnibus's own volume (issue 913702) has no CvVolume row
I 92979 cv=913702 gcd=2383445 isbn=978-1-302-92998-5 0.95 | the joined "COL X-Men by Jonathan Hickman Omnibus (2022)" 679pp = CV 142081 issue 913702 (HC, 2022-04) and GCD 183321 row 2383445 (712pp, 2022-03-30, ISBN 978-1-302-92998-5)
C 92979 cv=122077 gcd=151123 #1-21 0.9 | the Hickman Omnibus collects X-Men (Marvel 2019, 21; CV 122077 / GCD 151123) #1-21, this shelf's own run entire

S 22220 cv=120334 gcd=149057 1.0 | ComicInfo Web "714251" on the 51pp 2019 file is CV 120334 "X-Men No. 137 Facsimile Edition" (Marvel 2019, 1)'s own issue, and GCD 149057 (2019, 1) row 1998953 (52pp) agrees; the joined 83145 "X-Men 137 - Facsimile Edition (1980)" 50pp is a second rip of the same facsimile (the "(1980)" is the original's cover date — 50pp is the ads-included facsimile, not a 1980 rip); the 2023 reprint GCD 205190 is a later printing, and the round2-folder 185205 Moon Knight stamp is rejected
I 83146 cv=714251 gcd=1998953 1.0 | "X-Men 137 - Facsimile Edition (2019)" 51pp: ComicInfo Web 714251 = CV 120334 issue 714251, and GCD 149057 row 1998953 (2019-07-24, 52pp)
I 83145 cv=714251 gcd=1998953 0.9 | the joined "X-Men 137 - Facsimile Edition (1980)" 50pp = CV 120334 issue 714251 / GCD 149057 row 1998953 (52pp); ComicInfo says Volume 1963, so the file names the original's date

S 103819 cv=120145 gcd=148701 0.95 | split-reader ids CONFIRMED: "X-Men 001 - Facsimile Edition (2019)" 36pp = CV 120145 "X-Men No. 1 Facsimile Edition" (Marvel 2019, 1, issue 713528) and GCD 148701 (2019, 1) row 1987937 (36pp, 2019-07-10) — title, year and page count all agree; this is the 1963 #1 facsimile, not the 2023 X-Men (1991) #1 facsimile (CV 150482 / GCD 199334); per-file 43640 / 151123 are stamps
F 103819 needs-fetch cv=120145 | named from the rip only; no CvVolume row
I 83138 cv=713528 gcd=1987937 0.95 | "X-Men 001 - Facsimile Edition (2019)" 36pp = CV 120145 issue 713528 and GCD 148701 row 1987937 (36pp, 2019-07-10)

S 66149 cv=7258 gcd=7826 0.9 | Ultimate X-Men (2001-2009): nineteen "Ultimate X-Men Vol. 01-19" trades (judged ranges and GCD roll-ups in s7826), nine "Collection Book 01-09", two Omnibus books (Book 01 joined; roll-up s7826 #1-33, Book 02 #34-74) and 21 issue files #7-100 = CV 7258 "Ultimate X-Men" (Marvel 2001, 101, cached #1-100) = GCD 7826 (Marvel 2001-2009, 100); the trades are the run's own editions (RUN wins); 0.9 for Vol. 05 Ultimate War (the Ultimate War mini, GCD 11056 — flag #511 is right about its span) and the Omnibus annual/crossover riders
F 66149 wrong-cv-link | per-file CV 43640 (Panini France "X-Men") on 26/54 and 43446 (Panini España "Ultimate X-Men") are foreign stamps; GCD per-file 41766 / 35124 / 73980 / 29085 are Brazilian / German / French / Spanish editions
I 97138 cv=731598 gcd=- 0.9 | "COL Ultimate X-Men Collection Book 01 (2002)" 332pp = CV "Ultimate X-Men Collection" (2019 line) issue 731598; no GCD row in our dump
I 97139 cv=731599 gcd=- 0.9 | "Collection Book 02 (2003)" 317pp = CV "Ultimate X-Men Collection" issue 731599; no GCD row found
I 97140 cv=731600 gcd=- 0.9 | "Collection Book 03 (2003)" 276pp = CV "Ultimate X-Men Collection" issue 731600; no GCD row found
I 97141 cv=731601 gcd=- 0.9 | "Collection Book 04 (2005)" 245pp = CV "Ultimate X-Men Collection" issue 731601; no GCD row found
I 97142 cv=731726 gcd=- 0.9 | "Collection Book 05 (2005)" 308pp = CV "Ultimate X-Men Collection" issue 731726; no GCD row found
I 97143 cv=731727 gcd=- 0.9 | "Collection Book 06 (2006)" 244pp = CV "Ultimate X-Men Collection" issue 731727; no GCD row found
I 97144 cv=731728 gcd=- 0.9 | "Collection Book 07 (2007)" 242pp = CV "Ultimate X-Men Collection" issue 731728; no GCD row found
I 97145 cv=731729 gcd=- 0.9 | "Collection Book 08 (2008)" 332pp = CV "Ultimate X-Men Collection" issue 731729; no GCD row found
I 97146 cv=731730 gcd=- 0.9 | "Collection Book 09 (2009)" 212pp = CV "Ultimate X-Men Collection" issue 731730; no GCD row found
I 97147 cv=235317 gcd=945185 0.95 | "Ultimate X-Men Vol. 01 - The Tomorrow People" 148pp = CV "Ultimate X-Men: The Tomorrow People" issue 235317 and GCD 65610 (the 19-volume trade line) #1 row 945185 "The Tomorrow People" (164pp)
I 97148 cv=235318 gcd=945186 0.95 | "Vol. 02 - Return To Weapon X" 135pp = CV 35596 "Ultimate X-Men: Return to Weapon X" issue 235318 and GCD 65610 #2 row 945186 (148pp)
I 97149 cv=235319 gcd=945187 0.95 | "Vol. 03 - World Tour" 184pp = CV "Ultimate X-Men: World Tour" issue 235319 and GCD 65610 #3 row 945187 (196pp)
I 97150 cv=235320 gcd=945188 0.95 | "Vol. 04 - Hellfire & Brimstone" 120pp = CV "Ultimate X-Men: Hellfire and Brimstone" issue 235320 and GCD 65610 #4 row 945188 (148pp)
I 97151 cv=235440 gcd=945189 0.95 | "Vol. 05 - Ultimate War" 104pp = CV 35610 "Ultimate X-Men: Ultimate War" issue 235440 and GCD 65610 #5 row 945189 "Ultimate War" (116pp)
C 97151 gcd=11056 #1-4 0.95 | Vol. 05 collects the four-issue Ultimate War mini (Marvel 2003, GCD 11056, 4), not Ultimate X-Men issues — flag #511's point; a run other than the shelf's identity
I 97152 cv=235441 gcd=945190 0.95 | "Vol. 06 - Return of the King" 174pp = CV 35611 "Ultimate X-Men: Return of the King" issue 235441 and GCD 65610 #6 row 945190 (196pp)
I 97153 cv=235443 gcd=945191 0.95 | "Vol. 07 - Blockbuster" 95pp = CV "Ultimate X-Men: Blockbuster" issue 235443 and GCD 65610 #7 row 945191
I 97154 cv=235444 gcd=945192 0.95 | "Vol. 08 - New Mutants" 123pp = CV "Ultimate X-Men: New Mutants" issue 235444 and GCD 65610 #8 row 945192
I 97155 cv=235447 gcd=945193 0.95 | "Vol. 09 - The Tempest" 110pp = CV "Ultimate X-Men: The Tempest" issue 235447 and GCD 65610 #9 row 945193 (116pp)
I 97156 cv=235448 gcd=945194 0.95 | "Vol. 10 - Cry Wolf" 97pp = CV "Ultimate X-Men: Cry Wolf" issue 235448 and GCD 65610 #10 row 945194 (100pp; roll-up s7826 #50-53)
I 97157 cv=235449 gcd=945195 0.95 | "Vol. 11 - The Most Dangerous Game" 104pp = CV issue 235449 and GCD 65610 #11 row 945195 (108pp; roll-up s7826 #54-57)
I 97158 cv=235449 gcd=945195 0.95 | the second rip of "Vol. 11 - The Most Dangerous Game" 101pp = CV issue 235449 and GCD 65610 #11 row 945195; CORRECTS C-064's gcd=s7826 (the run, not the book)
I 97159 cv=235541 gcd=945196 0.95 | "Vol. 12 - Hard Lessons" 109pp = CV "Ultimate X-Men: Hard Lessons" issue 235541 and GCD 65610 #12 row 945196
I 97161 cv=235543 gcd=945197 0.95 | "Vol. 13 - Magnetic North" 126pp = CV "Ultimate X-Men: Magnetic North" issue 235543 and GCD 65610 #13 row 945197
I 97163 cv=235546 gcd=945198 0.95 | "Vol. 14 - Phoenix" 138pp = CV "Ultimate X-Men: Phoenix?" issue 235546 and GCD 65610 #14 row 945198 "Phoenix?"
I 97164 cv=235552 gcd=945199 0.95 | "Vol. 15 - Magical (2007)" 115pp = CV 35630 "Ultimate X-Men: Magical" issue 235552 and GCD 65610 #15 row 945199 (116pp); corrects C-064's gcd=s7826
I 97165 cv=235552 gcd=945199 0.95 | "Vol. 15 - Magical (2014)" 107pp, the other rip of the same book = CV issue 235552 and GCD 65610 #15 row 945199
I 97166 cv=235554 gcd=945200 0.95 | "Vol. 16 - Cable" 142pp = CV 35632 "Ultimate X-Men: Cable" issue 235554 and GCD 65610 #16 row 945200 (164pp)
I 97167 cv=235555 gcd=945201 0.95 | "Vol. 17 - Sentinels (2008)" 179pp = CV 35633 "Ultimate X-Men: Sentinels" issue 235555 and GCD 65610 #17 row 945201 (196pp); corrects C-064's gcd=s7826
I 97168 cv=235555 gcd=945201 0.95 | "Vol. 17 - Sentinels (2014)" 181pp, the other rip = CV issue 235555 and GCD 65610 #17 row 945201
I 97169 cv=235556 gcd=945202 isbn=978-0-7851-2550-1 0.95 | "Vol. 18 - Apocalypse" 107pp = CV 35634 "Ultimate X-Men: Apocalypse" issue 235556 and GCD 65610 #18 row 945202 (124pp); corrects C-064's gcd=s7826
I 97170 cv=235557 gcd=945203 isbn=978-0-7851-2944-8 0.95 | "Vol. 19 - Absolute Power" 99pp = CV 35635 "Ultimate X-Men: Absolute Power" issue 235557 and GCD 65610 #19 row 945203 (116pp); corrects C-064's gcd=s7826
I 97189 cv=985228 gcd=2440305 0.95 | the joined "COL Ultimate X-Men Omnibus Book 01 (2022)" = CV "Ultimate X-Men Omnibus" issue 985228 and GCD row 2440305 (roll-up s7826 #1-33 + Ultimate War #1-4)
C 97189 cv=7258 gcd=7826 #1-33 0.95 | Omnibus Book 01 collects Ultimate X-Men (Marvel 2001, 101; CV 7258 / GCD 7826) #1-33 per GCD row 2440305's roll-up — the shelf's own run
C 97189 gcd=11056 #1-4 0.95 | Omnibus Book 01 also collects the Ultimate War mini (Marvel 2003, GCD 11056, 4) #1-4 per GCD row 2440305
I 97190 cv=1046475 gcd=2608569 0.95 | "COL Ultimate X-Men Omnibus Book 02 (2024)" 1043pp = CV "Ultimate X-Men Omnibus" issue 1046475 and GCD row 2608569 (roll-up s7826 #34-74)
C 97190 cv=7258 gcd=7826 #34-74 0.95 | Omnibus Book 02 collects Ultimate X-Men (Marvel 2001, 101) #34-74 per GCD row 2608569's roll-up
C 97190 gcd=18994 #1-2 0.95 | Omnibus Book 02 also collects Ultimate X-Men Annual (Marvel 2005, GCD 18994) #1-2 per GCD row 2608569

S 103824 cv=34001 gcd=53690 0.95 | split-reader ids CONFIRMED: "COL X-Men Vol. 16 - X-Necrosha (2011)" 384pp = CV 34001 "X-Necrosha" (Marvel 2010, 1, issue 221765) = GCD 53690 (Marvel 2010, 1, row 791885, ISBN 978-0-7851-4674-2); the book is a crossover collection of X-Force, X-Men: Legacy, New Mutants and the Gathering one-shot, so no run owns it and its own record is the identity; the 2009 "X Necrosha" one-shot (CV 29125 / GCD 39992) is a different book on S22128
I 86017 cv=221765 gcd=791885 isbn=978-0-7851-4674-2 0.9 | "COL X-Men Vol. 16 - X-Necrosha (2011)" 384pp = CV 34001 issue 221765 and GCD 53690 row 791885 (456pp — 72pp more than our rip, so 0.9)
C 86017 cv=20511 gcd=29506 #21-25 0.95 | X-Necrosha collects X-Force (Marvel 2008-2010, 28; CV 20511 / GCD 29506) #21-25 per GCD row 791885's roll-up (the larger stretch; #11 on the N line)
C 86017 cv=20691 gcd=29823 #231-234 0.95 | X-Necrosha collects X-Men: Legacy (Marvel 2008-2012; CV 20691 / GCD 29823) #231-234 per GCD row 791885
C 86017 cv=26327 gcd=36520 #6-8 0.95 | X-Necrosha collects New Mutants (Marvel 2009-2012, 50; CV 26327 / GCD 36520) #6-8 per GCD row 791885
C 86017 gcd=40210 #1-1 0.95 | X-Necrosha collects X Necrosha: The Gathering (Marvel 2010, GCD 40210) #1 per GCD row 791885
N 86017 X-Necrosha also reprints X-Force (2008) #11, disjoint from #21-25

S 103823 cv=35716 gcd=227085 0.9 | split-reader's gcd=159496 CORRECTED on page count: "X-Men - Second Coming (2011)" 360pp is the Second Coming crossover collection (judged #235-237 = X-Men: Legacy's leg), whose 2010 HC is CV 35716 "X-Men: Second Coming" (Marvel 2010, 1, issue 236300 "HC") = GCD 227085 (2010, 1, row 2766236, 352pp) — 8pp from our rip — while the 2011 TPB GCD 159496 row 2107292 is 396pp (36pp off); a multi-run crossover book is its own identity; 0.9 because the filename's 2011 is the TPB year
N 103823 this is the same book as item 86225 "X-Men Legacy Vol. 08 - Second Coming" (354pp) on S22374 — two rips of one crossover collection on two shelves; the lead may want 86225 moved here
I 117305 cv=236300 gcd=2766236 isbn=978-0-7851-4678-0 0.9 | "X-Men - Second Coming (2011)" 360pp = CV 35716 issue 236300 (HC) and GCD 227085 row 2766236 (352pp); the 2011 TPB GCD 159496 row 2107292 (396pp, ISBN 978-0-7851-5705-2) is the alternative edition
C 117305 cv=32271 gcd=46027 #1-2 0.95 | Second Coming collects X-Men: Second Coming (Marvel 2010, 2; CV 32271 / GCD 46027) #1-2, the bookends, per GCD rows 2766236 / 2107292
C 117305 cv=20691 gcd=29823 #235-237 0.95 | Second Coming collects X-Men: Legacy (Marvel 2008-2012; CV 20691 / GCD 29823) #235-237 — this book's judged range #235-237 (0.9) and GCD row 2107292's roll-up agree
C 117305 cv=20511 gcd=29506 #26-28 0.95 | Second Coming collects X-Force (Marvel 2008-2010, 28; CV 20511 / GCD 29506) #26-28 per GCD row 2107292
C 117305 cv=26327 gcd=36520 #12-14 0.95 | Second Coming collects New Mutants (Marvel 2009-2012, 50; CV 26327 / GCD 36520) #12-14 per GCD row 2107292
C 117305 gcd=2605 #523-525 0.95 | Second Coming collects The Uncanny X-Men (Marvel 1981-2011, GCD 2605) #523-525 per GCD row 2107292's roll-up
