# R-177 - triaged 0.9 tier: 65 shelves (Monkeybrain, Oni, Panel Syndicate, Papercutz, Scout, Source Point, Titan, Valiant,
# Vault, SLG) last read in A-029..A-031, B-065..B-069, C-060..C-062, D-017, R-013..R-047. Most identities stand; the re-read
# under the later rulings changed these:
# - Valiant "_Chronological Valiant" folders hold the 1990s runs, read-order prefixed ("027. Harbinger 00", "149. Rai 00"
#   between #8 and #9): S8317 Harbinger and S14355 Rai were stored as the 2012 / 2014 relaunches, but their ladders 0-41 / 0-33
#   are exactly the 42-issue 1992 Harbinger (CV 4827) and the 34-issue 1992 Rai (CV 4828) - the cheapest mis-link test. Both
#   shelves also hold whole trades of the relaunches -> R + split-needed.
# - Bloodshot 1993 and Ninjak 1994 each hold six-ten issues of the 1997 relaunch whose shelf exists (S64339, S65365) -> joins.
# - Armorines, Solar and Lenore hold co-equal second runs with no shelf -> R + split-needed.
# - One-run omnibus / line gives way to the run: X-O Manowar Classic Omnibus -> merge-with S66390 (CV 4831).
# - Line spanning two runs keeps its own identity: Long Lost's two books (GCD 143368 notes: season 1 #1-6, "Part Two" #1-6).
# - Stored ids that were a TPB line, not the run: Good Boy v3 (CV 142228 = the three TPBs; the run is Prodigal Son 149249),
#   Barbaric cover gallery (148007 = the TPB line), Conan Battle of the Black Stone (GCD 208813 = the Conan TPB line).
# - GCD rows the packet did not surface: Action Journalism with Kate Kelly 230823, X-O Manowar 2012 65343 (was provider-missing).

S 95059 cv=23553 gcd=19825 0.95 | American Splendor (DC/Vertigo 2006-2007, 4): CV 23553 (2006, 4 cached) and GCD 19825 (2006-2007, 4) agree on publisher, year and count; our 12 files are three complete rips of #1-4 (Shadowcat-Empire 104811-104814, the DCP set 104815-104818, digital-Empire 112274-112277, 33-34pp, 2006-2007) - duplicate rips cost nothing
I 110904 cv=708079 gcd=1962505 isbn=978-1-68215-295-9 0.95 | Vol. 02 - Separation Anxiety 187pp = CV 118863 issue 708079 "Volume 2" and GCD 126755 #2 row 1962505 (196pp, 2019-05-08)
C 110903 cv=105656 gcd=119452 #1-5 0.95 | GCD 1823793's notes: collects #1-5 of the run, CV 105656 / GCD 119452 - firms up the judged #1-5 at 0.7
C 110904 cv=105656 gcd=119452 #6-12 0.95 | GCD 1962505's notes: collects #6-12 of the run, CV 105656 / GCD 119452
S 99676 cv=133872 gcd=169471 0.9 | Savage (Valiant 2021, 4): CV 133872 (4) and GCD 169471 (8 = #1-4 plus four Pre-Order rows, L-153) are the second Savage mini, and our one 109pp book "Savage - The Wild (2021)" is its trade; 0.9 for the pre-order doubling
I 111986 cv=869085 gcd=- isbn=- 0.9 | "COL Savage - The Wild (2021)" 109pp = CV 137440 "Savage: The Wild" (Valiant 2021, 1) issue 869085 "TPB" (2021-07-10); GCD has no row for it
C 111986 cv=133872 gcd=169471 #1-4 0.9 | The Wild collects Savage (Valiant 2021) #1-4 = CV 133872 / GCD 169471 regular rows 2199064 ... 2222642; 109pp is four 36pp issues
N 111986 the packet's GCD says row 1712323 is GCD 114650's - the 2017 TPB of the 2016 Savage mini (132pp) - a stamp from another book, so its "#1-4 of Savage (2016)" is void and X-054's gcd=1712323 on this item is wrong
S 22575 cv=48559 gcd=65343 0.95 | X-O Manowar (Valiant 2012-2016, 51): CV 48559 (#0-50) and GCD 65343 (2012-2016, 51 rows) agree on publisher, span and count; our 13 trades and 5 Deluxe Editions are the run's own collected lines (GCD 87392 / 114666), which cost nothing; C-062's provider-missing is answered by 65343
F 22575 wrong-cv-link | the per-file CV 4831 (X-O Manowar 1992) is stamped on 12 books and CV 100101 (the 2017 run) on 4, all of them 2012-run trades
I 110976 cv=371263 gcd=1466390 isbn=9780979640940 0.95 | v01 - By the Sword 111pp = CV 54475 issue 371263 "Volume 1" and GCD 87392 #1 "By the Sword" row 1466390 (116pp)
I 110977 cv=395697 gcd=1466391 isbn=9780979640995 0.95 | v02 - Enter Ninjak 111pp = CV 59510 issue 395697 "Volume 2" and GCD 87392 #2 row 1466391 (116pp, notes #5-8)
I 110978 cv=422492 gcd=1466392 isbn=9781939346087 0.95 | v03 - Planet Death 155pp = CV 66570 issue 422492 "Volume 3" and GCD 87392 #3 "Planet Death" row 1466392
I 110979 cv=440247 gcd=1466393 isbn=9781939346179 0.95 | v04 - Homecoming 112pp = CV 70522 issue 440247 "Volume 4" and GCD 87392 #4 row 1466393 (116pp)
I 110980 cv=450064 gcd=1466394 isbn=9781939346247 0.95 | v05 - At War With Unity 106pp = CV 72931 issue 450064 "Volume 5" and GCD 87392 #5 "At War with Unity" row 1466394
I 110981 cv=461721 gcd=1466395 isbn=9781939346407 0.95 | v06 - Prelude to Armor Hunters 99pp = CV 76262 issue 461721 "Volume 6" and GCD 87392 #6 row 1466395 (108pp)
I 110982 cv=474617 gcd=1466396 isbn=- 0.95 | v07 - Armor Hunters 106pp = CV 79023 issue 474617 "Volume 7" and GCD 87392 #7 "Armor Hunters" row 1466396
I 110983 cv=482173 gcd=1466397 isbn=9781939346551 0.95 | v08 - Enter Armorines 106pp = CV 80601 issue 482173 "Volume 8" and GCD 87392 #8 row 1466397 (116pp)
I 110984 cv=497932 gcd=1466398 isbn=9781939346650 0.95 | v09 - Dead Hand 134pp = CV 83989 issue 497932 "Volume 9" and GCD 87392 #9 "Dead Hand" row 1466398
I 110985 cv=510930 gcd=1709317 isbn=9781939346933 0.95 | v10 - Exodus 149pp = CV 87342 issue 510930 "Volume 10" and GCD 87392 #10 "Exodus" row 1709317
I 110986 cv=534275 gcd=1709318 isbn=9781682151273 0.95 | v11 - The Kill List 157pp = CV 91125 issue 534275 "Volume 11" and GCD 87392 #11 row 1709318 (164pp)
I 110987 cv=558951 gcd=1709319 isbn=9781682151655 0.95 | v12 - Long Live the King 142pp = CV 95849 issue 558951 "Volume 12" and GCD 87392 #12 "Long Live the King" row 1709319
I 110988 cv=575854 gcd=1709320 isbn=9781682151778 0.95 | v13 - Succession and Other Tales 114pp = CV 97929 issue 575854 "Volume 13" and GCD 87392 #13 row 1709320 (116pp)
I 110971 cv=431434 gcd=1712344 isbn=9781939346100 0.9 | Deluxe Edition Book 01 393pp = CV 68719 #1 issue 431434 "Volume One" and GCD 114666 #1 row 1712344 (408pp) - by ordinal
I 110972 cv=496383 gcd=1712345 isbn=9781939346520 0.95 | Deluxe Edition Book 02 331pp = CV 68719 #2 issue 496383 "Volume Two" and GCD 114666 #2 row 1712345 (324pp)
I 110973 cv=537226 gcd=1712346 isbn=9781682151310 0.9 | Deluxe Edition Book 03 311pp = CV 68719 #3 issue 537226 "Volume Three" and GCD 114666 #3 row 1712346 (330pp) - by ordinal
I 110974 cv=592589 gcd=1712347 isbn=9781682151839 0.9 | Deluxe Edition Book 04 399pp = CV 68719 #4 issue 592589 "Volume Four" and GCD 114666 #4 row 1712347 (422pp) - by ordinal
I 110975 cv=611989 gcd=1723419 isbn=9781682152157 0.9 | Deluxe Edition Book 05 355pp = CV 68719 #5 issue 611989 "Volume Five" and GCD 114666 #5 row 1723419 (390pp) - by ordinal
C 110977 cv=48559 gcd=65343 #5-8 0.95 | GCD 1466391's notes: collects X-O Manowar (Valiant Entertainment, 2012 Series) #5-8 = CV 48559 / GCD 65343

# ---- Valiant / Acclaim 1990s ----
S 5651 cv=6028 gcd=5823 0.9 | Dr. Tomorrow (Acclaim 1997-1998, 12): CV 6028 (#1 1997-09 ... #12 1998-08) and GCD 5823 (12) agree, spelling "Dr." where our "Doctor Tomorrow 01-12 (1997-1998)" spell it out; 0.9 for the 2020 relaunch's trade, a different run with no shelf
F 5651 wrong-cv-link | the per-file CV 125153 (Doctor Tomorrow 2020, 5) is stamped on all twelve 1997-1998 issues
I 111962 cv=821999 gcd=2742111 isbn=978-1682153703 0.95 | "COL Doctor Tomorrow (2020)" 126pp = CV 132718 issue 821999 and GCD 224340 row 2742111 (128pp)
C 111962 cv=125153 gcd=156367 #1-5 0.9 | collects Doctor Tomorrow (Valiant 2020, 5; CV 125153 / GCD 156367, whose 10 rows are five issues indexed twice, L-153) - 126pp is five issues
S 20787 cv=9339 gcd=10121 0.9 | Unity 2000 (Acclaim 1999-2000): CV 9339 (#0 preview + #1-3) and GCD 10121 (#1 1999-12 ... #3 2000-07) agree on #1-3, our "Unity 2000 01-03" 25-28pp, plus the Preview Book; 0.9 because our #4-6 are "(unpublished)" art circulated after cancellation, in neither catalog
F 20787 needs-fetch cv=9339 | "Unity 2000" (Acclaim 1999) is named from the rip and has no CvVolume row
F 20787 wrong-cv-link | the per-file CV 69121 (Unity 2013, 26) is stamped on six of the seven 1999-2000 files
I 111137 cv=145934 gcd=1741576 isbn=- 0.9 | the 17pp Preview Book: CV 9339 #0 issue 145934 and GCD 117258 "Unity 2000 Preview Book" row 1741576
S 64040 cv=4831 gcd=4496 0.9 | X-O Manowar Classic Omnibus reprints ONE run, X-O Manowar (Valiant 1992), so the omnibus shelf gives way to it: CV 4831 (1992, 71) / GCD 4496 (1992-1996, 70) - the run S66390 stores; 0.9 because GCD's row carries no collects note to prove the range
F 64040 merge-with=66390 | the omnibus is an edition of the X-O Manowar (1992) run S66390 holds (CV 4831 / GCD 4496); one folder of the two sits under Valiant\_Acclaim\X-O Manowar (1992) beside that run's issues
F 64040 wrong-cv-link | the stored CV 79345 "X-O Manowar Classic Omnibus" (count 1) is the book's own record - it moves to the I lines
N 64040 flag #554 label-ambiguous (item 111998): answered - items 111998 and 111138 are two rips of Classic Omnibus Book 01 (792 / 781pp) (L-367); no C range - GCD row 1307852 has no collects note
I 111998 cv=475681 gcd=1307852 isbn=9781939346308 0.95 | "COL X-O Manowar Classic Omnibus Book 01 (2014)" 792pp = CV 79345 issue 475681 and GCD 85882 row 1307852 (808pp)
I 111138 cv=475681 gcd=1307852 isbn=9781939346308 0.95 | "COL X-O Manowar - Classic Omnibus Vol. 01 (2014)" 781pp, a second rip = CV 79345 issue 475681 and GCD 85882 row 1307852 (808pp)
R 1312 | two runs share this shelf: Armorines (Acclaim 1994-1995, 13 = #0-12; CV 5340 / GCD 5057) = the 13 "_Chronological Valiant" files "270.01 Armorines 00" ... "536. Armorines 12", the largest; and Armorines (Acclaim 1999-2000, 4; CV 26141 #1 1999-10 ... #4 2000-01 / GCD 13865) = the four "Armorines 01-04 (of 04) (1999-2000)" files - a whole mini, a co-equal run no shelf stores (who-stores cv=26141: 0 rows)
F 1312 split-needed | Armorines (1994, CV 5340 / GCD 5057) stays with the chronological #0-12; items 111001 / 111002 / 111003 / 111004 "Armorines 01-04 (of 04) (1999-2000)" 24-39pp -> new key "Armorines v2 (1999)" (CV 26141 / GCD 13865; their folder is Valiant\_Acclaim\Armorines v2)
N 1312 kept run: cv=5340 gcd=5057 (Acclaim 1994-1995, 13 = #0-12); the per-file CV 26141 stamps all 17 files
R 8317 | two runs share this shelf and the stored link names the minor one: the 42 "_Chronological Valiant" files "027. Harbinger 00" ... "535. Harbinger 41" (16-31pp, read-order 027-535, among the 1992-1995 books) are Harbinger (Valiant 1992-1995, 42 = #0-41; CV 4827 / GCD 4492) - a ladder 0-41 cannot fit the stored 26-issue 2012 volume; and the two Deluxe Editions (2013 / 2015) are whole books of Harbinger (Valiant 2012-2014, 26; CV 49539 / GCD 66244) - two whole trades of a different run, a co-equal run
F 8317 split-needed | Harbinger (1992, CV 4827 / GCD 4492) stays with the 42 chronological issues; items 110862 / 110863 "COL Harbinger - Deluxe Edition - Book 01 / 02" 405 / 414pp -> new key "Harbinger v2 (2012)" (CV 49539 / GCD 66244; their folder is Valiant\Harbinger\Harbinger v2)
F 8317 wrong-cv-link | the stored CV 49539 (Harbinger 2012) is stamped per-file on all 44 files; 42 of them are the 1992 run
F 8317 needs-fetch cv=4827 | "Harbinger" (Valiant/Acclaim 1992, 42) is named from the rip and has no CvVolume row
N 8317 kept run: cv=4827 gcd=4492 (Valiant 1992-1995, 42 = #0-41, CV #0 "The Beginning" ... #41 "Postcards")
I 110862 cv=433165 gcd=1712274 isbn=9781939346131 0.95 | "COL Harbinger - Deluxe Edition - Book 01 (2013)" 405pp = CV 69120 #1 issue 433165 and GCD 114629 #1 row 1712274 (410pp)
I 110863 cv=501013 gcd=1712275 isbn=9781939346773 0.95 | "COL Harbinger - Deluxe Edition - Book 02 (2015)" 414pp = CV 69120 #2 issue 501013 and GCD 114629 #2 row 1712275 (420pp)
S 14162 cv=5349 gcd=5066 0.9 | Psi-Lords (Valiant 1994-1995, 10): CV 5349 (#1 1994-09 ...) and GCD 5066 (1994-1995, 10) agree with the ten "_Chronological Valiant" files "371. Psi-Lords 01" ... "542. Psi-Lords 10"; 0.9 for the 2020 trade of the 2019 relaunch, a different run with no shelf
F 14162 wrong-cv-link | the per-file CV 119769 (Psi-Lords 2019, 8) is stamped on all ten 1994-1995 issues
I 111982 cv=823975 gcd=2723031 isbn=978-1682153529 0.95 | "COL Psi-Lords (2020)" 201pp = CV 133074 issue 823975 and GCD 168973 row 2723031, both the 2019 relaunch's collected edition
C 111982 cv=119769 gcd=147716 #1-8 0.9 | collects Psi-Lords (Valiant 2019, 8; CV 119769 / GCD 147716, whose 16 rows are eight issues indexed twice, L-153) - 201pp is eight issues
R 14355 | three runs share this shelf and the stored link names a minor one: the 34 "_Chronological Valiant" files "041. Rai 01" ... "544. Rai 33" with "149. Rai 00" between #8 and #9 are Rai (Valiant 1992-1995, 34 = #0-33; CV 4828 / GCD 4493, the chain's first record - L-212); items 110907 / 110909 / 110910 are the 2014 Rai (CV 73417 / GCD 80415: Deluxe Edition, #16, Vol. 4); items 110911 / 110912 are the 2019 Rai's two Books (CV 122982 / GCD 152850) - each two-plus books of its own run
F 14355 split-needed | Rai (1992, CV 4828 / GCD 4493) stays with the 34 chronological issues; items 110907 "Rai - Deluxe Edition - Book 01 (2016)", 110909 "Rai 016 (2016)", 110910 "Rai v04 - 4001 A.D. (2016)" -> new key "Rai v3 (2014)" (CV 73417 / GCD 80415 - the key those three already carry); items 110911 / 110912 "Rai Book 01 / 02 (2020)" -> new key "Rai v4 (2019)" (CV 122982 / GCD 152850)
F 14355 wrong-cv-link | the stored CV 73417 (Rai 2014, 16) is stamped per-file on all 39 files; 34 of them are the 1992 run
F 14355 needs-fetch cv=4828 | "Rai" (Valiant/Acclaim 1992, 34) is named from the rip and has no CvVolume row
N 14355 kept run: cv=4828 gcd=4493 (CV counts #0-33 as one volume; GCD 4493 holds #0-8 and files the retitled "Rai and the Future Force" stretch separately); C-062's "ladder 0-33 runs past both counts - staleness" was the 1992 run all along
I 110907 cv=528495 gcd=1712321 isbn=9781682151174 0.95 | "COL Rai - Deluxe Edition - Book 01 (2016)" 347pp = CV 90119 issue 528495 "HC" and GCD 114648 row 1712321 (356pp, 2016-05)
I 110910 cv=553940 gcd=1712320 isbn=9781682151471 0.95 | "COL Rai v04 - 4001 A.D. (2016)" 132pp = CV 95029 issue 553940 "Volume 4" and GCD 114649 #4 "4001 A.D." row 1712320 (132pp)
I 110911 cv=799931 gcd=2148376 isbn=9781682153604 0.95 | "COL Rai Book 01 (2020)" 126pp = CV 130388 #1 issue 799931 "Book One" and GCD 164011 #1 row 2148376 (132pp, 2020-09)
I 110912 cv=828132 gcd=2195999 isbn=9781682153901 0.95 | "COL Rai Book 02 (2020)" 124pp = CV 130388 #2 issue 828132 "Book Two" and GCD 164011 #2 row 2195999 (132pp, 2021-02)
C 110911 cv=122982 gcd=152850 #1-5 0.9 | GCD 2148376's notes: collects #1-5 of the 2019 Rai (CV 122982, 10 / GCD 152850, 20 = ten issues indexed twice)
C 110912 cv=122982 gcd=152850 #6-10 0.9 | GCD 2195999's notes: collects #6-10 of the 2019 Rai (CV 122982 / GCD 152850)
R 15854 | two runs and residue share this shelf: Solar, Man of the Atom (Valiant 1991-1996, 60; CV 4607 / GCD 4256) = the 60 "_Chronological Valiant" "Solar Man of the Atom v2 01-60" files, the largest; Solar: Man of the Atom (Dynamite 2014-2015, 12; CV 73103 / GCD 80249) = four issues #9-12 and its Vol. 01-02 trades - six books of a run no Series stores; plus two 1997 Acclaim one-shots
F 15854 split-needed | Solar (1991, CV 4607 / GCD 4256) stays with the 60 chronological issues and the two 1997 one-shots; items 21664-21667 "Solar - Man of the Atom 009-012 (2015)" and 21668 / 21669 "COL ... Vol. 01 - Nuclear Family / Vol. 02 - Woman of the Atom" -> new key "Solar: Man of the Atom (2014)" (CV 73103 / GCD 80249)
F 15854 wrong-cv-link | the per-file CV 73103 (Dynamite 2014) is stamped on all 68 files
N 15854 kept run: cv=4607 gcd=4256 (Valiant 1991-1996, 60); flag #416 label-ambiguous (item 111306) is answered - the v2 files are 21-43pp single issues (L-367)
I 21668 cv=471333 gcd=1490086 isbn=978-1606905425 0.95 | "COL Solar - Man of the Atom Vol. 01 - Nuclear Family (2014)" 148pp = CV 78358 issue 471333 "Volume One" and GCD 93498 #1 "Nuclear Family" row 1490086 (2014-11)
I 21669 cv=495290 gcd=1490976 isbn=978-1606906835 0.9 | "COL ... Vol. 02 - Woman of the Atom (2015)" 105pp = CV 83341 issue 495290 "Volume Two" (2015-07) and GCD 93498 #2 row 1490976 (2015-07-01, titled "Interglactic", notes #5-8)
I 111098 cv=154423 gcd=60223 isbn=- 0.9 | "COL Solar - Man Of The Atom v2 (1997)" 42pp = the 1997 Acclaim one-shot, CV 26075 issue 154423 and GCD 5828 row 60223 (52pp, 1997-05)
I 111099 cv=- gcd=375173 isbn=- 0.9 | "Solar Man of the Atom - Revelations (1997) (oneshot)" 43pp = GCD 26609 "Solar, Man of the Atom - Revelations" row 375173 (52pp, 1997-11); no CV volume for it in the rip
S 19897 cv=25991 gcd=13860 0.9 | The Visitor (Valiant/Acclaim 1995, 13): CV 25991 (#1 1995-04 ... #13 1995-11) and GCD 13860 (13) both equal the thirteen chronological files "504. The Visitor 01" ... "632. The Visitor 13"; 0.9 for the 2021 trade of the 2019 relaunch, a different run with no shelf
F 19897 wrong-cv-link | the per-file CV 123690 (The Visitor 2019, 6) is stamped on all thirteen 1995 issues
I 111995 cv=889827 gcd=- isbn=- 0.9 | "COL The Visitor (2021)" 157pp = CV 139641 "The Visitor" (Valiant 2021, 1) issue 889827 "TPB"; GCD has no trade row
C 111995 cv=123690 gcd=153708 #1-6 0.9 | collects The Visitor (Valiant 2019-2021, 6; CV 123690 / GCD 153708, whose 12 rows are six issues indexed twice, L-153) - 157pp is six issues
S 64338 cv=5067 gcd=4755 0.9 | Bloodshot (Valiant 1993-1996, 52 = #0-51): CV 5067 (52 cached) and GCD 4755 (52) agree with the 42 chronological files "121. Bloodshot 00" ... "705. Bloodshot 51" and the two 2021 Valiant Classics trades (judged #0-7, #8-14); 0.9 while ten 1997-series issues sit here - they join below
F 64338 split-needed | items 111011-111020 "Bloodshot 07-16 (1998) (d'argh-Empire)" 20-23pp are #7-16 of Bloodshot (Acclaim 1997-1998, 16; CV 11899 / GCD 12912, per-file GCD on all ten), the run S64339 stores with #1-6 from the same ripper -> join S64339 on its key "Bloodshot (1997)" (L-368)
I 110796 cv=831992 gcd=- isbn=- 0.9 | "COL Bloodshot Vol. 01 - The Blood of Heroes (2021)" 274pp = CV 134187 "Bloodshot: The Blood of Heroes" (Valiant 2021, 1) issue 831992 "TPB"; GCD has no row
I 110797 cv=877542 gcd=- isbn=- 0.9 | "COL Bloodshot Vol. 02 - Empirical Dynasty (2021)" 309pp = CV 138084 "Bloodshot: Empirical Dynasty" (Valiant 2021, 1) issue 877542 "TPB"; GCD has no row
S 65364 cv=5348 gcd=5065 0.9 | Ninjak (Valiant 1994-1995, 28 = #0, #00, #1-26): CV 5348 and GCD 5065 agree with the chronological "252. Ninjak 00b" and "276. Ninjak 01" ... "623. Ninjak 26"; 0.9 for the 2021 run's Book 01 and while six 1997-series issues sit here - they join below
F 65364 split-needed | items 111056-111061 "Ninjak 007-012 (1997-1998) (Vee-Empire)" 24pp are #7-12 of Ninjak (Acclaim 1997-1998, 12; CV 6030 / GCD 5825, per-file GCD on all six), the run S65365 stores with #1-6 from the same ripper -> join S65365 on its key "Ninjak (1997)" (L-368)
I 111980 cv=932658 gcd=- isbn=- 0.9 | "COL Ninjak Book 01 (2021)" 93pp = CV 143832 "Ninjak" (Valiant 2022, 1) issue 932658 "Book One" (2022-03); GCD has no row
C 111980 cv=137582 gcd=174086 #1-4 0.9 | Book One collects Ninjak (Valiant 2021, 4; CV 137582 / GCD 174086 regular rows #1-4) - 93pp is four issues; not the shelf's 1994 run
S 103039 cv=69229 gcd=- 0.9 | Valiant 8-Bit Adventure: Unity! (Valiant 2013, 1): CV 69229 issue 433445 "Training Day" (2013-11) carries the exact title and year of our 143pp book; the 13pp "Valiant 8-Bit Cover Gallery (2013) (12 covers only)" is its cover pack, which costs nothing
F 103039 needs-fetch cv=69229 | "Valiant 8-Bit Adventure: Unity!" is named from the rip and has no CvVolume row
F 103039 provider-missing | GCD indexes no Valiant 8-Bit row ("Valiant 8-Bit" exact and --contains: 0 series); the per-file CV 78714 "The Valiant" on the cover pack is a stamp
I 112105 cv=433445 gcd=- isbn=- 0.9 | "Valiant 8-Bit Adventure - Unity! (2013)" 143pp = CV 69229 issue 433445 "Training Day" (2013-11-01); GCD holds no row

# ---- Vault ----
S 1839 cv=137217 gcd=175880 0.9 | our one 21pp file "Barbaric 001 - Cover Gallery (2021)" is the variant-cover pack of Barbaric (Vault 2021, 3) #1: CV 137217 (#1 2021-06 ... #3 2021-08) and GCD 175880 (2021, [limited series] 3) - the pair S1843 stores; 0.9 because a cover pack is all the shelf holds
F 1839 merge-with=1843 | S1843 holds the run's Vol. 1 trade under CV 137217 / GCD 175880; this shelf is the same run's cover gallery
F 1839 wrong-cv-link | the stored CV 148007 "Barbaric" (Vault 2021, 3) is the TRADE line ("Vol. 1: Murderable Offenses", "Vol. 2: Axe to Grind", "Vol. 3: Hell to Pay"), not the run
F 1839 partial-rip | the shelf is only a 21pp cover-gallery rip of #1, not the issue
S 6599 cv=113871 gcd=143795 0.9 | Fearscape (Vault 2018-2019, 5): CV 113871 (5) and GCD 143795 (#1 2018-09-28 ... #5 2019-04-24) agree, and "Fearscape Vol. 01" 152pp is its trade; 0.9 while Vol. 02, the trade of the sequel A Dark Interlude, sits here - it joins below
F 6599 split-needed | item 112167 "COL Fearscape Vol. 02 - A Dark Interlude (2023)" 146pp = CV 119851 #2 "Vol. 2: A Dark Interlude", the trade of A Dark Interlude (Vault 2020-2022, 5; CV 132091 / GCD 168041), the run S184 stores -> join S184 on its key "A Dark Interlude" (L-368)
I 112166 cv=712466 gcd=1981117 isbn=978-1-939424-44-0 0.95 | "COL Fearscape Vol. 01 (2019)" 152pp = CV 119851 #1 issue 712466 "Volume One" (2019-06-26) and GCD 148468 row 1981117 (2019-06-12)
C 112166 cv=113871 gcd=143795 #1-5 0.95 | Vol. One collects Fearscape (Vault 2018-2019) #1-5 = CV 113871 / GCD 143795 - the run has five issues, so the judged #1-6 overshoots
I 112167 cv=1030016 gcd=- isbn=- 0.9 | "COL Fearscape Vol. 02 - A Dark Interlude (2023)" 146pp = CV 119851 #2 issue 1030016 "Vol. 2: A Dark Interlude" (2023-02); X-054's cv=691417 is not this book
C 112167 cv=132091 gcd=168041 #1-5 0.9 | collects A Dark Interlude (Vault 2020-2022, 5; CV 132091 / GCD 168041) - 146pp is five issues; not the shelf's Fearscape run
S 9507 cv=87166 gcd=95425 0.95 | Interceptor (Heavy Metal 2016, 5): CV 87166 (5) and GCD 95425 (2016-?, 5) agree, and our one 131pp book (judged #1-5) is Vault's 2019 trade of that run - the run's own book, which costs nothing
I 113899 cv=712467 gcd=1981130 isbn=978-1-939424-46-4 0.95 | "COL Interceptor Vol. 01 (2019)" 131pp = CV 119854 issue 712467 "TPB" (2019-06-26) and GCD 148469 row 1981130 (2019-06-26); 144886 is a 32pp giveaway
S 13021 cv=126030 gcd=161059 0.95 | No One's Rose (Vault 2020, 5): CV 126030 (5) and GCD 161059 (2020, [limited series] 5) agree on publisher, year and count, and our one 139pp book is the run's own trade (five 28pp issues)
I 113902 cv=818980 gcd=2284974 isbn=- 0.9 | "COL No One's Rose Vol. 01 (2020)" 139pp = CV 132092 issue 818980 "TPB" (2020-11-20) and GCD 179080 row 2284974 (2020); GCD's row has no pages or date
S 15498 cv=119398 gcd=146405 0.95 | She Said Destroy (Vault 2019, 5): CV 119398 (5) and GCD 146405 (2019, [Limited Series] 5) agree on publisher, year and count, and our one 124pp book is the run's own trade (five 25pp issues)
I 113908 cv=728734 gcd=2285135 isbn=- 0.9 | "COL She Said Destroy Vol. 01 (2019)" 124pp = CV 123051 issue 728734 "TPB" (2019-11-24) and GCD 179099 row 2285135 (2019); GCD's row has no pages or date
S 21295 cv=109981 gcd=126823 0.95 | Wasted Space (Vault 2018-2021, 25): CV 109981 (25) and GCD 126823 (2018-2021, 25) agree, and our Vol. 01-05 are the run's own trades (GCD 1949442's notes: Vol. 1 = #1-5); the trade line is CV 113910 / GCD 143794
F 21295 wrong-cv-link | the per-file CV 113910 is the five-volume trade line, stamped on all five books
I 112243 cv=686338 gcd=1949442 isbn=9781939424358 0.95 | Vol. 01 (2018) 141pp = CV 113910 #1 issue 686338 "Volume 1" and GCD 143794 #1 row 1949442, both dated 2018-09-26
I 112244 cv=712497 gcd=1981009 isbn=978-1-939424-47-1 0.95 | Vol. 02 (2019) 140pp = CV 113910 #2 issue 712497 "Volume 2" and GCD 143794 #2 row 1981009, both dated 2019-06-26
I 112245 cv=797897 gcd=2285069 isbn=- 0.95 | Vol. 03 (2020) 134pp = CV 113910 #3 issue 797897 "Volume 3" (2020-09-10) and GCD 143794 #3 row 2285069 (2020-09-20)
I 112246 cv=939714 gcd=2835409 isbn=- 0.9 | Vol. 04 (2021) 137pp = CV 113910 #4 issue 939714 "Volume 4" (2021-12) and GCD 143794 #4 row 2835409 (undated) - by ordinal
I 112247 cv=964978 gcd=2835410 isbn=- 0.9 | Vol. 05 (2022) 146pp = CV 113910 #5 issue 964978 "Volume 5" (2022-05) and GCD 143794 #5 row 2835410 (undated) - by ordinal
C 112243 cv=109981 gcd=126823 #1-5 0.95 | GCD 1949442's notes: collects Wasted Space (Vault, 2018 series) #1-5 = CV 109981 / GCD 126823
