# R-034 — revisit of the split lane's P-004, first half: the new shelves P-004 created, each read beside the KEPT shelf
# it came from; plus the ten shelves R-032 withheld (their partners took F wrong-cv-link in R-033 / wave 19, so the CV
# is free now), and two open-flag questions (He-Man S8477, Punisher S94684). Every split-reader run id was re-probed
# with lookup.py (--issues / --gcd-issues / --collects / names) before it went on an S line.

# ================= the ten R-032 withheld shelves: the run confirmed again, the CV now written =================

S 102613 cv=27055 gcd=38419 0.95 | the RUN wins: our one 630pp "Do Androids Dream of Electric Sheep - Omnibus (2015)" collects the 24-issue Boom! adaptation — GCD's own row 1514806 (s95044, 644pp, ISBN 9781608867844) reprints s38419 #1-24 — and CV 27055 (Boom! 2009, 24, #1-24 cached) and GCD 38419 (Boom! 2009-2011, 24) agree on title, publisher, years and count; R-032 withheld cv=27055 only because S5586 (Dust to Dust, now S cv=33382 + F wrong-cv-link in R-033) still stored it
S 15143 cv=123436 gcd=232848 0.9 | the kept half: our 24pp "Scary Christmas 001 (2019)" (ComicInfo Web 730442, Count 1) is CV 123436 #1 issue 730442 (2019-12-13) and GCD 232848 "Scary Christmas" row 2810970 (2019-12, one-shot); 0.9 because CV folds the 2021-2023 sequels into 123436 as #2-4 while GCD mints each — per-year specials stay separate, so this shelf keeps only #1
I 6713 cv=730442 gcd=2810970 isbn=- 1.0 | ComicInfo Web 730442 is CV 123436 #1, and GCD 232848 row 2810970 (2019-12, 36pp against our 24pp) agrees
S 102843 cv=- gcd=201277 0.9 | split run confirmed: our 32pp "Scary Christmas 2 001 (2021)" (ComicInfo Series "Scary Christmas 2", Volume 2021, Count 1) is GCD 201277 "Scary Christmas 2" (American Mythology 2021-2022) — the GCD per-file already names it; ComicVine folds it into 123436 as #2 (issue 1062344, 2021-12), so cv stays on S15143 and this book's CV id goes on its I line; 0.9 because GCD 201277 counts 3 undated rows against ComicInfo's Count 1
I 6714 cv=1062344 gcd=2545424 isbn=- 0.9 | CV 123436 #2 issue 1062344 (2021-12) and GCD 201277 #1 row 2545424
S 102844 cv=- gcd=193931 0.95 | split run confirmed: our 32pp "Scary Christmas 3 001 (2022)" (ComicInfo "Scary Christmas 3", Volume 2022, Count 1) is GCD 193931 "Scary Christmas 3" (American Mythology 2022, one-shot, 2022-12-14), and CV 123436 #3 issue 1062345 (2022-12) is the same book — two legs, one book, one date
I 6715 cv=1062345 gcd=2465923 isbn=- 0.95 | CV 123436 #3 issue 1062345 (2022-12) and GCD 193931 row 2465923 (2022-12-14)
S 102845 cv=- gcd=232847 0.9 | split run confirmed: our 32pp "Scary Christmas 4 001 (2023)" (ComicInfo "Scary Christmas 4", Volume 2023) is GCD 232847 "Scary Christmas 4" (American Mythology 2023, 1 row), and CV 123436 #4 issue 1062346 (2023-12) is the same book; the per-file GCD 232848 is a round2-series copy of the 2019 one-shot
I 6716 cv=1062346 gcd=2810969 isbn=- 0.9 | CV 123436 #4 issue 1062346 (2023-12) and GCD 232847 row 2810969 (2023)
S 102846 cv=161638 gcd=218652 0.95 | split run confirmed: our 30pp "Scary Christmas V - Killer Claus (2024) (One Shot)" (ComicInfo Count 1) is CV 161638 "Scary Christmas V. Killer Claus" (American Mythology 2024, 1) and GCD 218652 (American Mythology 2024, one-shot, 2024-12-11) — title, publisher, year and count agree
I 6717 cv=1081724 gcd=2687292 isbn=- 0.95 | the one-shot's own records: CV 161638 issue 1081724 and GCD 218652 #1 row 2687292 (2024-12-11)

# ================= Boom Studios\The Amazing World of Gumball: five OGNs and a special =================

S 17949 cv=116487 gcd=216019 0.95 | two rips of one OGN (148pp "OGN - Midsummer Nightmare (2019)" and 147pp Empire rip, joined from S17947): CV 116487 (Boom! 2019, 1, Volume 6 2019-01-15) and GCD 216019 (Boom! 2019, 1 row 2019-01, ISBN 978-1-68415-294-0) agree on title, publisher, date and count; the duplicate rip costs nothing
I 9451 cv=697510 gcd=2661939 isbn=978-1-68415-294-0 0.95 | the OGN's own records: CV 116487 issue 697510 and GCD 216019 row 2661939
I 10809 cv=697510 gcd=2661939 isbn=978-1-68415-294-0 0.95 | second rip of the same OGN (147pp): CV issue 697510 and GCD row 2661939
S 102861 cv=109305 gcd=- 0.9 | split run confirmed: our 148pp "The Amazing World of Gumball - Scrimmage Scramble (2018)" is CV 109305 (Boom! 2018, 1, Volume 4 2018-03) — title, publisher, year and count agree with our filename; GCD has no series for it (--gcd-series "Scrimmage Scramble" --contains 0)
F 102861 provider-missing | GCD holds no row for BOOM!'s 2018 Gumball OGN Scrimmage Scramble
I 10810 cv=663623 gcd=- isbn=- 0.9 | the OGN's own record: CV 109305 issue 663623 (Volume 4, 2018-03); no GCD row
S 102862 cv=117042 gcd=216020 0.95 | split run confirmed: our 43pp "The Amazing World of Gumball - Spring Break Smash (2019)" is a special, not an OGN — CV 117042 (Boom! 2019, 1, 2019-02-13) and GCD 216020 (Boom! 2019, 1 row #1, 2019-02) agree on title, publisher, date and count
I 10811 cv=700604 gcd=2661940 isbn=- 0.95 | the special's own records: CV 117042 issue 700604 and GCD 216020 #1 row 2661940
S 102863 cv=113215 gcd=- 0.9 | split run confirmed: our 143pp "The Amazing World of Gumball - Tunnel Kingdom (2018)" is CV 113215 (Boom! 2018, 1, Volume 5 2018-09-05) — title, publisher, year and count agree; GCD has no series for it (--gcd-series "Tunnel Kingdom" --contains 0)
F 102863 provider-missing | GCD holds no row for BOOM!'s 2018 Gumball OGN Tunnel Kingdom
I 10812 cv=683750 gcd=- isbn=- 0.9 | the OGN's own record: CV 113215 issue 683750 (Volume 5, 2018-09); no GCD row
S 17947 cv=119283 gcd=- 0.9 | the kept half: our 111pp "The Amazing World of Gumball - Adventures in Elmore (2019)" is CV 119283 "The Amazing World of Gumball: Adventures In Elmore" (Boom! 2019, 1, GN 2019-05-22) — title, publisher, year and count agree; GCD has no series for it (--gcd-series "Adventures in Elmore" --contains 0)
F 17947 wrong-cv-link | the stored CV 75153 is the 2014-2015 eight-issue Gumball comic run (no CvVolume row); this book is the 2019 OGN CV 119283
F 17947 provider-missing | GCD holds no row for BOOM!'s 2019 Gumball OGN Adventures in Elmore
I 10808 cv=709667 gcd=- isbn=- 0.9 | the OGN's own record: CV 119283 issue 709667 (GN, 2019-05-22); no GCD row

# ================= Marvel\The Dark Tower: five Gunslinger minis, one trade each =================

S 102754 cv=37406 gcd=53914 0.95 | split run confirmed, the RUN wins: our 131pp "The Gunslinger - Vol. 02 - The Little Sisters of Eluria (2011)" collects the five-issue mini — CV 37406 (Marvel 2011, 5, "Issue 1-5 (of 5)") and GCD 53914 (Marvel 2011, 5 rows × 36pp) agree on title, publisher, year and count
I 103971 cv=380698 gcd=1915213 isbn=978-0-7851-4931-6 0.9 | the trade's own records: GCD 139308 row 1915213 (the 2011 HC, 144pp against our 131pp, matching the filename's 2011) and CV 55898 issue 380698 (dated 2013, HC); 0.9 because GCD also mints a 2013 TPB (223249)
S 102753 cv=41365 gcd=59096 0.95 | split run confirmed, the RUN wins: our 132pp "The Gunslinger - Vol. 03 - The Battle of Tull (2011)" collects the five-issue mini — CV 41365 (Marvel 2011, 5) and GCD 59096 (Marvel 2011, 5 rows × 36pp) agree on title, publisher, year and count
I 103972 cv=540968 gcd=2831453 isbn=978-0-7851-4933-0 0.9 | the trade's own records: CV 92519 issue 540968 (HC/TPB, 2012-01) and GCD 236570 row 2831453 (HC 2012-01-12); 0.9 because GCD also mints a 2013 TPB (141472, 140pp)
S 102756 cv=45071 gcd=62854 0.95 | split run confirmed, the RUN wins: our 122pp "The Gunslinger - Vol. 04 - The Way Station (2012)" collects the five-issue mini — CV 45071 (Marvel 2012, 5) and GCD 62854 (Marvel 2011-2012, 5 rows) agree on title, publisher, year and count
I 103973 cv=417208 gcd=1915212 isbn=978-0-7851-4935-4 0.9 | the trade's own records: GCD 139307 row 1915212 (the 2012 HC, 140pp against our 122pp, matching the filename's 2012) and CV 65188 issue 417208 (TPB, 2013-07); 0.9 because GCD also mints the 2013 TPB (223250)
S 102755 cv=49876 gcd=66415 0.95 | split run confirmed, the RUN wins: our 130pp "The Gunslinger - Vol. 05 - The Man in Black (2013)" collects the five-issue mini — CV 49876 (Marvel 2012, 5) and GCD 66415 (Marvel 2012, 5 rows) agree on title, publisher, year and count
I 103974 cv=379156 gcd=1915214 isbn=978-0-7851-4937-8 0.9 | the trade's own records: CV 55606 issue 379156 (HC/TPB, 2012-12) and GCD 139309 row 1915214 (HC 2013-01-15, 144pp against our 130pp); 0.9 because GCD also mints a 2013-10 TPB (223251)
S 18351 cv=33239 gcd=51935 0.95 | the kept half, the RUN wins: our 112pp "The Gunslinger - Vol. 01 - The Journey Begins (2011)" collects the five-issue 2010 mini — CV 33239 (Marvel 2010, 5, #1-5 2010-07..11) and GCD 51935 (Marvel 2010, 5 rows) agree on title, publisher, year and count; the stored CV 33239 is right
I 103970 cv=462619 gcd=2384841 isbn=978-0-7851-4709-1 0.9 | the trade's own records: GCD 183517 row 2384841 (the 2011-01 HC, 144pp against our 112pp, matching the filename's 2011) and CV 76497 issue 462619 (HC/TPB); 0.9 because GCD also mints a 2012 TPB (223248)

# ================= Witchblade/Aliens/Darkness/Predator: two crossover minis in one reading-order folder =================

S 102833 cv=20811 gcd=47833 0.95 | split run confirmed: our "Witchblade_Aliens_Darkness_Predator_01_-_Overkill_01" and "02_-_Overkill_02" (48pp each) are CV 20811 "Overkill: Witchblade/Aliens/Darkness/Predator" (Image 2000, 2, "The Heat" / "Assault and Butchery") and GCD 47833 (Image 2000-2001, 2 rows × 52pp) — title, publisher, years, count and page count agree; the 01-02 prefix is a reading-order position (L-095)
S 21742 cv=20252 gcd=21784 0.95 | the kept half: our "…_03_-_Mindhunter_01" to "…_05_-_Mindhunter_03" (21-24pp) are CV 20252 "Witchblade/Aliens/The Darkness/Predator" (Dark Horse 2000, 3, "Mindhunter Part 1-3") and GCD 21784 (Dark Horse 2000-2001, 3 rows × 32pp) — title, publisher, years and count agree; the ladder 3-5 is the folder's reading order (03-05), the issue numbers are Mindhunter 01-03

# ================= Marvel: Claws (2006) and Claws 2 (2011) =================

S 3942 cv=18502 gcd=19016 0.95 | the RUN wins: our "Claws 001-003 (2006)" (24pp, ComicInfo Count 3) and the 106pp "Wolverine & Black Cat - Claws (2010)" trade (joined from S21870 in P-004) are the three-issue 2006 Claws — CV 18502 (Marvel 2006, 3) and GCD 19016 (Marvel 2006, limited series, 3 rows) agree on title, publisher, year and count; the run's own trade costs nothing
I 98029 cv=- gcd=1105298 isbn=978-0-7851-4285-0 0.95 | the trade's own record: GCD 73843 "Wolverine / Black Cat: Claws" row 1105298 (2010-01-20, 108pp against our 106pp — the 2010 edition in our filename); CV's 30300 is the 2007 HC (issue 186647), another edition
S 21870 cv=41136 gcd=60428 0.95 | the kept half is Claws 2, which DOES have records (B-062 and P-004 found none): CV 41136 "Wolverine & The Black Cat: Claws 2" (Marvel 2011, 3, #1-3 2011-09..11) and GCD 60428 "Wolverine & Black Cat: Claws 2" (Marvel 2011, 3 rows × 36pp) agree on title, publisher, year and count; our floppies "Claws 2 01-03 (of 03) (2011)" fill it and the 135pp "Claws 2 (2011)" is its trade — "Claws 2" --contains finds both
I 98030 cv=302780 gcd=- isbn=- 0.9 | the trade's own record: CV 44066 "Wolverine and Black Cat: Claws II" issue 302780 (HC/TPB, 2011-11); GCD mints two editions (221429 row 2713785, 2011-11-16, 196pp; 221430 row 2713786, 2012-05-16, 116pp) and our 135pp matches neither page count cleanly
N 21870 the split reader's "Claws 2 trade record GCD 73843" is the 2010 edition of the FIRST Claws — it belongs to 98029 on S3942, not to Claws 2

# ================= Marvel\I (heart) Marvel (2006): five one-shots =================

S 102788 cv=50788 gcd=17059 0.95 | split run confirmed: our 22pp "I (heart) Marvel - Masked Intentions (2006)" is CV 50788 (Marvel 2006, 1) and GCD 17059 (Marvel 2006, 1 row 36pp, 2006-03-01) — title, publisher, year and count agree
I 99432 cv=347368 gcd=276995 isbn=- 0.95 | the one-shot's own records: CV 50788 issue 347368 and GCD 17059 #1 row 276995
S 102789 cv=50789 gcd=17206 0.95 | split run confirmed: our 25pp "I (heart) Marvel - My Mutant Heart (2006)" is CV 50789 (Marvel 2006, 1) and GCD 17206 (Marvel 2006, 1 row 36pp) — title, publisher, year and count agree
I 99433 cv=347369 gcd=277440 isbn=- 0.95 | the one-shot's own records: CV 50789 issue 347369 and GCD 17206 #1 row 277440
S 102790 cv=50787 gcd=17205 0.95 | split run confirmed: our 23pp "I (heart) Marvel - Outlaw Love (2006)" is CV 50787 (Marvel 2006, 1) and GCD 17205 (Marvel 2006, 1 row 36pp) — title, publisher, year and count agree
I 99434 cv=347367 gcd=277439 isbn=- 0.95 | the one-shot's own records: CV 50787 issue 347367 and GCD 17205 #1 row 277439
S 102791 cv=50786 gcd=17203 0.95 | split run confirmed: our 23pp "I (heart) Marvel - Web of Romance (2006)" is CV 50786 (Marvel 2006, 1) and GCD 17203 (Marvel 2006, 1 row 36pp, 2006-02-08) — title, publisher, year and count agree
I 99435 cv=347366 gcd=277437 isbn=- 0.95 | the one-shot's own records: CV 50786 issue 347366 and GCD 17203 #1 row 277437
S 23549 cv=50785 gcd=17207 0.95 | the kept half: our 24pp "I (heart) Marvel - Marvel Ai (2006)" is CV 50785 "I (heart) Marvel: Marvel Ai" (Marvel 2006, 1, "Ai is Japanese for Love") and GCD 17207 (Marvel 2006, 1 row 36pp, 2006-02-15) — title, publisher, year and count agree
I 99431 cv=347365 gcd=277441 isbn=- 0.95 | the one-shot's own records: CV 50785 issue 347365 and GCD 17207 #1 row 277441

# ================= Boom Studios\Ice Age: five one-shots =================

S 102792 cv=53347 gcd=158736 0.95 | split run confirmed: our 25pp "Ice Age - Past, Present, and Future (2012)" is CV 53347 "Ice Age: Past, Presents, and Future!" (Boom! 2012, 1) and GCD 158736 (Boom! 2012, 1 row 2012-10) — title, publisher, year and count agree
I 10104 cv=363107 gcd=2100436 isbn=- 0.95 | the one-shot's own records: CV 53347 issue 363107 and GCD 158736 row 2100436
S 102793 cv=58373 gcd=215644 0.95 | split run confirmed: our 26pp "Ice Age - Playing Favorites (2012)" is CV 58373 (Boom! 2012, 1) and GCD 215644 (Boom! 2012, 1 row 2012-03) — title, publisher, year and count agree
I 10105 cv=390122 gcd=2659592 isbn=- 0.95 | the one-shot's own records: CV 58373 issue 390122 and GCD 215644 row 2659592
S 102794 cv=59375 gcd=215643 0.95 | split run confirmed: our 25pp "Ice Age - The Hidden Treasure (2013)" is CV 59375 (Boom! 2013, 1) and GCD 215643 (Boom! 2013, 1 row 2013-03) — title, publisher, year and count agree
I 10106 cv=395332 gcd=2659591 isbn=- 0.95 | the one-shot's own records: CV 59375 issue 395332 and GCD 215643 row 2659591
S 102795 cv=57047 gcd=215642 0.95 | split run confirmed: our 25pp "Ice Age - Where There's Thunder (2012)" is CV 57047 (Boom! 2012, 1) and GCD 215642 (Boom! 2012, 1 row 2012-05) — title, publisher, year and count agree
I 10107 cv=385706 gcd=2659590 isbn=- 0.95 | the one-shot's own records: CV 57047 issue 385706 and GCD 215642 row 2659590
S 23555 cv=56294 gcd=215645 0.95 | the kept half: our 24pp "Ice Age - Iced In (2011)" is CV 56294 "Ice Age: Iced In" (Boom! 2012, 1, 2012-02) and GCD 215645 (Boom! 2011, 1 row 2011-12) — title, publisher and count agree, and the cover-date/on-sale split explains 2011 vs 2012
F 23555 wrong-cv-link | the stored CV 98429 is Shueisha's 2004 Japanese "Ice Age" (10 volumes) — another publisher, language and work; this book is CV 56294
I 10103 cv=382207 gcd=2659593 isbn=- 0.95 | the one-shot's own records: CV 56294 issue 382207 and GCD 215645 row 2659593 (2011-12)

# ================= DC\_The Joker\Joker's Asylum v1 (2008): five one-shots =================

S 102801 cv=22285 gcd=31285 0.95 | split run confirmed: our 24pp "Joker's Asylum - Penguin 001 (2008)" is CV 22285 (DC 2008, 1) and GCD 31285 (DC 2008, 1 row 36pp, 2008-07-10) — title, publisher, year and count agree
I 74574 cv=134004 gcd=534411 isbn=- 0.95 | the one-shot's own records: CV 22285 issue 134004 and GCD 31285 #1 row 534411
S 102802 cv=22259 gcd=31334 0.95 | split run confirmed: our 23pp "Joker's Asylum - Poison Ivy 001 (2008)" is CV 22259 (DC 2008, 1) and GCD 31334 (DC 2008, 1 row 36pp, 2008-07-16) — title, publisher, year and count agree
I 74575 cv=133775 gcd=534894 isbn=- 0.95 | the one-shot's own records: CV 22259 issue 133775 and GCD 31334 #1 row 534894
S 102803 cv=33803 gcd=31373 0.95 | split run confirmed: our 24pp "Joker's Asylum - Scarecrow 001 (2008)" is CV 33803 (DC 2008, 1) and GCD 31373 (DC 2008, 1 row 36pp, 2008-07-23) — title, publisher, year and count agree
I 74576 cv=219770 gcd=535157 isbn=- 0.95 | the one-shot's own records: CV 33803 issue 219770 and GCD 31373 #1 row 535157
S 102804 cv=22402 gcd=31432 0.95 | split run confirmed: our 24pp "Joker's Asylum - Two-Face 001 (2008)" is CV 22402 (DC 2008, 1) and GCD 31432 (DC 2008, 1 row 36pp, 2008-07-30) — title, publisher, year and count agree
I 74578 cv=134589 gcd=535930 isbn=- 0.95 | the one-shot's own records: CV 22402 issue 134589 and GCD 31432 #1 row 535930
S 23583 cv=33802 gcd=31259 0.95 | the kept half: our 24pp "Joker's Asylum - The Joker 001 (2008)" is CV 33802 "Joker's Asylum: The Joker" (DC 2008, 1, "The Joker's Mild!") and GCD 31259 "Joker's Asylum: Joker" (DC 2008, 1 row 36pp, 2008-07-02) — title, publisher, year and count agree
F 23583 wrong-cv-link | the stored CV 48477 is "Batman: Joker's Asylum" (the 2008-2011 collected TPB line, no CvVolume row) — not this one-shot; it is CV 33802
I 74577 cv=219769 gcd=533822 isbn=- 0.95 | the one-shot's own records: CV 33802 issue 219769 and GCD 31259 #1 row 533822

# ================= Marvel\Marvel Romance Redux (2006): five one-shots =================

S 102817 cv=35956 gcd=17399 0.95 | split run confirmed: our 33pp "Marvel Romance Redux - Guys and Dolls (2006)" is CV 35956 (Marvel 2006, 1) and GCD 17399 (Marvel 2006, 1 row 36pp, 2006-03-29) — title, publisher, year and count agree
I 100967 cv=237694 gcd=278238 isbn=- 0.95 | the one-shot's own records: CV 35956 issue 237694 and GCD 17399 #1 row 278238
S 102818 cv=93118 gcd=17767 0.95 | split run confirmed: our 33pp "Marvel Romance Redux - I Should Have Been A Blonde (2006)" is CV 93118 (Marvel 2006, 1) and GCD 17767 (Marvel 2006, 1 row 36pp) — title, publisher, year and count agree
I 100968 cv=544638 gcd=290968 isbn=- 0.95 | the one-shot's own records: CV 93118 issue 544638 and GCD 17767 #1 row 290968
S 102819 cv=22155 gcd=18429 0.95 | split run confirmed: our 33pp "Marvel Romance Redux - Love Is A Four-Letter Word (2006)" is CV 22155 (Marvel 2006, 1) and GCD 18429 (Marvel 2006, 1 row 36pp) — title, publisher, year and count agree
I 100969 cv=133278 gcd=298435 isbn=- 0.95 | the one-shot's own records: CV 22155 issue 133278 and GCD 18429 #1 row 298435
S 102820 cv=56670 gcd=17500 0.95 | split run confirmed: our 33pp "Marvel Romance Redux - Restraining Orders Are For Other Girls (2006)" is CV 56670 (Marvel 2006, 1) and GCD 17500 (Marvel 2006, 1 row 36pp) — title, publisher, year and count agree
I 100970 cv=384392 gcd=288887 isbn=- 0.95 | the one-shot's own records: CV 56670 issue 384392 and GCD 17500 #1 row 288887
S 23664 cv=56669 gcd=26129 0.95 | the kept half: our 33pp "Marvel Romance Redux - But I Thought He Loved Me! (2006)" is CV 56669 (Marvel 2006, 1) and GCD 26129 (Marvel 2006, 1 row 36pp, 2006-02-01) — title, publisher, year and count agree
I 100966 cv=384391 gcd=370677 isbn=- 0.95 | the one-shot's own records: CV 56669 issue 384391 and GCD 26129 #1 row 370677

# ================= Marvel\Marvel Super Hero Adventures (2018): five one-shots =================

S 102821 cv=113717 gcd=129802 0.95 | split run confirmed: our 23pp "Marvel Super Hero Adventures - Captain Marvel - First Day of School (2018)" is CV 113717 (Marvel 2018, 1) and GCD 129802 (Marvel 2018, 1 row 32pp, 2018-09-19) — title, publisher, year and count agree; the per-file CV 109961 is another MSHA one-shot, a stamp
I 101026 cv=685851 gcd=1849230 isbn=- 0.95 | the one-shot's own records: CV 113717 issue 685851 and GCD 129802 #1 row 1849230
S 102822 cv=112328 gcd=126963 0.95 | split run confirmed: our 23pp "… Ms. Marvel and the Teleporting Dog 001 (2018)" is CV 112328 (Marvel 2018, 1) and GCD 126963 (Marvel 2018, 1 row 32pp, 2018-07-18) — title, publisher, year and count agree
I 101028 cv=677286 gcd=1825208 isbn=- 0.95 | the one-shot's own records: CV 112328 issue 677286 and GCD 126963 #1 row 1825208
S 102823 cv=111146 gcd=125304 0.95 | split run confirmed: our 21pp "… The Spider-Doctor 001 (2018)" is CV 111146 (Marvel 2018, 1) and GCD 125304 (Marvel 2018, 1 row 32pp, 2018-05-30) — title, publisher, year and count agree
I 101029 cv=671333 gcd=1812082 isbn=- 0.95 | the one-shot's own records: CV 111146 issue 671333 and GCD 125304 row 1812082
S 102824 cv=111832 gcd=126250 0.95 | split run confirmed: our 22pp "… Webs and Arrows and Ants - Oh My! (2018)" is CV 111832 (Marvel 2018, 1) and GCD 126250 (Marvel 2018, 1 row, 2018-06-27) — title, publisher, year and count agree
I 101030 cv=675142 gcd=1820234 isbn=- 0.95 | the one-shot's own records: CV 111832 issue 675142 and GCD 126250 #1 row 1820234
S 23665 cv=112960 gcd=127962 0.95 | the kept half: our 22pp "Marvel Super Hero Adventures - Inferno! (2018)" is CV 112960 "Marvel Super Hero Adventures: Inferno" (Marvel 2018, 1) and GCD 127962 (Marvel 2018, 1 row, 2018-08-22) — title, publisher, year and count agree
I 101027 cv=680730 gcd=1838378 isbn=- 0.95 | the one-shot's own records: CV 112960 issue 680730 and GCD 127962 #1 row 1838378

# ================= Marvel\_Marvel Monograph: five art books, CV only =================

S 102813 cv=125359 gcd=- 0.9 | split run confirmed: our 111pp "Marvel Monograph - The Art of Arthur Adams - X-Men (2020)" (ComicInfo the same title, Marvel) is CV 125359 (Marvel 2020, 1) — one leg plus our naming and ComicInfo; GCD holds no Marvel Monograph at all ("Marvel Monograph" --contains 0)
F 102813 provider-missing | GCD holds no row for any Marvel Monograph art book
I 83521 cv=739028 gcd=- isbn=- 0.9 | the book's own record: CV 125359 issue 739028; no GCD row
S 102814 cv=125672 gcd=- 0.9 | split run confirmed: our 109pp "Marvel Monograph - The Art of Chris Bachalo (2020)" is CV 125672 (Marvel 2020, 1) — one leg plus our naming; GCD holds no Marvel Monograph
F 102814 provider-missing | GCD holds no row for any Marvel Monograph art book
I 83522 cv=740766 gcd=- isbn=- 0.9 | the book's own record: CV 125672 issue 740766; no GCD row
S 102815 cv=123414 gcd=- 0.9 | split run confirmed: our 112pp "Marvel Monograph - The Art of Ed Mcguinness - Deadpool & His Amazing Friends" (ComicInfo the same, Marvel) is CV 123414 (Marvel 2019, 1) — one leg plus our naming and ComicInfo; GCD holds no Marvel Monograph
F 102815 provider-missing | GCD holds no row for any Marvel Monograph art book
I 83523 cv=730354 gcd=- isbn=- 0.9 | the book's own record: CV 123414 issue 730354; no GCD row
S 102816 cv=121902 gcd=- 0.9 | split run confirmed: our 113pp "Marvel Monograph - The Art of Sara Pichelli (2019)" (ComicInfo the same, Marvel) is CV 121902 (Marvel 2019, 1) — one leg plus our naming and ComicInfo; GCD holds no Marvel Monograph
F 102816 provider-missing | GCD holds no row for any Marvel Monograph art book
I 83525 cv=721799 gcd=- isbn=- 0.9 | the book's own record: CV 121902 issue 721799; no GCD row
S 24297 cv=119654 gcd=- 0.9 | the kept half: our 59pp "Marvel Monograph - The Art of Humberto Ramos - Spider-Man (2019)" (ComicInfo the same, Marvel) is CV 119654 (Marvel 2019, 1, SC 2019-06-12) — one leg plus our naming and ComicInfo; GCD holds no Marvel Monograph
F 24297 provider-missing | GCD holds no row for any Marvel Monograph art book
I 83524 cv=711325 gcd=- isbn=- 0.9 | the book's own record: CV 119654 issue 711325 (SC); no GCD row

# ================= Marvel\_Avengers\Marvel's Avengers (2020): five game tie-in one-shots =================

S 102825 cv=126016 gcd=176108 0.95 | split run confirmed: our 22pp "Marvel's Avengers - Black Widow 001 (2020)" is CV 126016 (Marvel 2020, 1) and GCD 176108 (Marvel 2020, 1 row 32pp, 2020-03-25) — title, publisher, year and count agree
I 53037 cv=743443 gcd=2263290 isbn=- 0.95 | the one-shot's own records: CV 126016 issue 743443 and GCD 176108 #1 row 2263290
S 102826 cv=125810 gcd=157635 0.95 | split run confirmed: our 23pp "Marvel's Avengers - Captain America 001 (2020)" is CV 125810 (Marvel 2020, 1) and GCD 157635 (Marvel 2020, 1 row 32pp, 2020-03-18) — title, publisher, year and count agree
I 53038 cv=742372 gcd=2087355 isbn=- 0.95 | the one-shot's own records: CV 125810 issue 742372 and GCD 157635 #1 row 2087355
S 102827 cv=124820 gcd=155700 0.95 | split run confirmed: our 23pp "Marvel's Avengers - Hulk 001 (2020)" is CV 124820 (Marvel 2020, 1) and GCD 155700 (Marvel 2020, 1 row 32pp, 2020-02-05) — title, publisher, year and count agree
I 53039 cv=736493 gcd=2065322 isbn=- 0.95 | the one-shot's own records: CV 124820 issue 736493 and GCD 155700 #1 row 2065322
S 102828 cv=124123 gcd=154504 0.95 | split run confirmed: our 23pp "Marvel's Avengers - Thor 001 (2020)" is CV 124123 (Marvel 2020, 1) and GCD 154504 (Marvel 2020, 1 row 32pp, 2020-01-08) — title, publisher, year and count agree
I 53041 cv=732883 gcd=2053874 isbn=- 0.95 | the one-shot's own records: CV 124123 issue 732883 and GCD 154504 #1 row 2053874
S 24299 cv=123410 gcd=153550 0.95 | the kept half: our 23pp "Marvel's Avengers - Iron Man 001 (2020)" (ComicInfo "Marvel's Avengers: Iron Man", Volume 2019) is CV 123410 (Marvel 2019, 1, #1 2020-02) and GCD 153550 (Marvel 2020, 1 row 32pp) — title, publisher, date and count agree
I 53040 cv=730338 gcd=2046598 isbn=- 0.95 | the one-shot's own records: CV 123410 issue 730338 and GCD 153550 #1 row 2046598

# ================= Marvel\Oz (2010): five trades, each collecting a different Baum mini (the RUN wins) =================

S 102834 cv=36477 gcd=53091 0.95 | split run confirmed, the RUN wins: our 196pp "COL Oz Vol. 03 - Ozma of Oz (2011)" collects the eight-issue Ozma of Oz — its own GCD row 1165520 says "Ozma of Oz (Marvel, 2011 series) #1-8" — and CV 36477 (Marvel 2011, 8) and GCD 53091 (Marvel 2011, 8 rows) agree on title, publisher, year and count
I 102315 cv=371518 gcd=1165520 isbn=978-0-7851-4247-8 0.95 | the trade's own records: CV 54506 "Oz: Ozma of Oz" issue 371518 (HC/TPB, 2011-09) and GCD 77894 row 1165520 (2011-09-11, 208pp against our 196pp)
S 102771 cv=43206 gcd=61191 0.95 | split run confirmed, the RUN wins: our 207pp "COL Oz Vol. 04 - Dorothy and the Wizard in Oz (2012)" collects the eight-issue mini — GCD row 1165522 says "Dorothy & the Wizard in Oz (Marvel, 2011 series) #1-8" — and CV 43206 (Marvel 2011, 8) and GCD 61191 (Marvel 2011-2012, 8) agree on title, publisher, years and count
I 102316 cv=371517 gcd=1165522 isbn=978-0-7851-5554-6 0.95 | the trade's own records: CV 54505 "Oz: Dorothy and the Wizard in Oz" issue 371517 (HC/TPB, 2012-09) and GCD 77895 row 1165522 (2012-09-12, 192pp against our 207pp)
S 102839 cv=51870 gcd=68381 0.95 | split run confirmed, the RUN wins: our 143pp "COL Oz Vol. 05 - Road to Oz (2013)" collects the six-issue mini — GCD row 1165521 reprints s68381 #1-6 — and CV 51870 (Marvel 2012, 6, #1-6 2012-11..2013-05) and GCD 68381 (Marvel 2012-2013, 6) agree on title, publisher, years and count
